slug	name	date	event	opponent	methodRaw	promotion
ookuwa-hiroaki	大桑 宏章	2008-11-23	ZST.18 ～旗揚げ6周年記念大会～	田沼 良介	3R 引き分け	SHOOT BOXING
ookuwa-hiroaki	大桑 宏章	2008-08-24	ZST SWAT！ in FACE vol.1	二之宮 徳昭	3R 時間切れ	SHOOT BOXING
ookuwa-hiroaki	大桑 宏章	2008-02-24	ZST.16	矢島 雄一郎	2R 時間切れ	SHOOT BOXING
fushimi-kazuyuki	伏見 和之	2009-09-21	ZST SWAT! in FACE vol.3	藍 寛之	2R KO	SHOOT BOXING
dariusu-sukuriaudisu	ダリウス・スクリアウディス	2005-09-10	ZST BATTLE HAZARD 02	小次郎	2R 1：29 無効試合（バッティングによる負傷）	Wikipedia(その他団体)
dariusu-sukuriaudisu	ダリウス・スクリアウディス	2004-07-04	ZST BATTLE HAZARD 01	HIROAKI	1R 2:29 TKO（左ローキック）	Wikipedia(その他団体)
