event_id,brand,event_date,bout_index,side,result,name_raw,gym_raw,name_normalized,weight_class_raw,source_url,fetched_at,mnews_slug,status,match_confidence,name_confidence
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,1,A,win,坂野周平,サツキジム横浜,坂野周平,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,1,B,loss,井上セナ,K-Clann,井上セナ,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,2,A,win,マイティ・saw,T・GRIP TOKYO,マイティ・saw,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,foreign
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,2,B,loss,中尾響,JAPAN TOP TEAM,中尾響,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,3,A,win,朝比奈龍希,JAPAN TOP TEAM,朝比奈龍希,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,3,B,loss,川口海翔,ALLIANCE,川口海翔,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,4,A,win,今野蓮弥,TEAM大和魂,今野蓮弥,DEEPフライ級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,4,B,loss,今井風快,TRIBE TOKYO MMA,今井風快,DEEPフライ級 5分2R,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,5,A,win,琥,フリー,琥,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,5,B,loss,渡部恵多,パラエストラ八王子,渡部恵多,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,6,A,loss,大越充悟,パラエストラ八王子,大越充悟,DEEPフェザー級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,6,B,win,佐々木琢磨,ALLIANCE,佐々木琢磨,DEEPフェザー級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,7,A,loss,森谷風真,T・GRIP TOKYO,森谷風真,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-fight-challenge-2026-2nd-round,DEEP FIGHT CHALLENGE,2026-07-24,7,B,win,齋藤未来,FIGHTER`S FLOW,齋藤未来,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-fight-challenge-2026-2nd-round/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,1,A,win,相本宗輝,ROOM,相本宗輝,DEEPライト5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,aimoto-kazuki,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,1,B,loss,山田聖真,JAPAN TOP TEAM,山田聖真,DEEPライト5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,2,A,loss,猿寿健太,K-Clann,猿寿健太,DEEP 58kg以下 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,enju-kenta,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,2,B,win,火の鳥,BRAVE GYM,火の鳥,DEEP 58kg以下 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,hinotori,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,3,A,win,五明宏人,JAPAN TOP TEAM,五明宏人,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,gomyo-hiroto,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,3,B,loss,太田将吾,NEX SPORTS,太田将吾,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,4,A,loss,神田コウヤ,THE BLACK BELT JAPAN,神田コウヤ,DEEPライト5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,koya-kanda,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,4,B,win,ケンシロウ,FIGHTER’S FLOW,ケンシロウ,DEEPライト5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,kenshiro,listed,exact,kana_only
deep-132-impact,DEEP IMPACT,2026-07-05,5,A,win,河村泰博,和術慧舟會AKZA,河村泰博,DEEPバンタム級 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,5,B,loss,山本有人,リバーサルジム東京スタンドアウト,山本有人,DEEPバンタム級 5分3R,https://www.deep2001.com/deep-132-impact/,2026-07-25,yamamoto-arihito,hidden,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,6,A,loss,鈴木大晟,パラエストラ八王子,鈴木大晟,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,suzuki-taisei,listed,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,6,B,win,高橋正親,BRAVE GYM,高橋正親,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,7,A,loss,マサト・ナカムラ,レンジャージム,マサト・ナカムラ,DEEＰフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,kana_only
deep-132-impact,DEEP IMPACT,2026-07-05,7,B,win,斎藤璃貴,Fight Holic,斎藤璃貴,DEEＰフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,8,A,win,松井優磨,KATANA GYM,松井優磨,DEEPフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,8,B,loss,石原射,GRABAKA,石原射,DEEPフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,9,A,win,石坂空志,クボジム/BRAVE GYM,石坂空志,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,ishizaka-kushi,hidden,exact,clean
deep-132-impact,DEEP IMPACT,2026-07-05,9,B,loss,矢野武蔵,パラエストラ愛媛,矢野武蔵,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,10,A,loss,武利侑都,KRAZY BEE,武利侑都,DEEPフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,10,B,win,横内三旺,フリー,横内三旺,DEEPフライ級 5分2R,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,11,A,win,秋元優志,JAPAN TOP TEAM,秋元優志,DEEPフライ級 3分2R アマチュアSルール,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-132-impact,DEEP IMPACT,2026-07-05,11,B,loss,荒井夕翔,FIRED UP GYM,荒井夕翔,DEEPフライ級 3分2R アマチュアSルール,https://www.deep2001.com/deep-132-impact/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,1,A,loss,栗山葵,SMOKER GYM,栗山葵,DEEP JEWELSフライ級 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,1,B,win,サラ・マフムード,Badger MMA,サラ・マフムード,DEEP JEWELSフライ級 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,2,A,win,Street♡★Bob洸助,BOND GYM,Street♡★Bob洸助,DEEPライト級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,2,B,loss,河坂修斗,KNOCKOUTクロスポイント・パラエストラ吉祥寺,河坂修斗,DEEPライト級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,3,A,win,小川道的,柔術兄弟,小川道的,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,3,B,loss,澤田龍美,リバーサルジム神戸HIZUMI,澤田龍美,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,4,A,win,フェルナンド,Brotherhood / Pitbull Brothers,フェルナンド,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,4,B,loss,カーレッジユウキ,VICTORY GYM,カーレッジユウキ,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,5,A,loss,橋本葵,SMOKER GYM,橋本葵,DEEP JEWELSストロー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,5,B,win,渡辺真央,POLARGYMOSAKA,渡辺真央,DEEP JEWELSストロー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,6,A,win,加藤憂也,POLARGYMOSAKA,加藤憂也,DEEPフェザー級 3分2RアマチュアSルール,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,6,B,loss,大島伊玖都,パラエストラ天満,大島伊玖都,DEEPフェザー級 3分2RアマチュアSルール,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,7,A,win,切嶋龍輝,マーシャルアーツクラブ中津川,切嶋龍輝,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,7,B,loss,寺崎昇龍,Fight Holic,寺崎昇龍,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,terasaki-shoryu,listed,exact,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,8,A,win,大空斗,パンクラス大阪稲垣組,大空斗,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,8,B,loss,谷岡祐樹,パラエストラ加古川,谷岡祐樹,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,9,A,win,MG眞介,reversal gym osaka anne,MG眞介,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,9,B,loss,みやび,糸満MMA,みやび,DEEP WEST JAPAN BANTAMWEIHT GP 2026一回戦 5分3R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,10,A,win,虎鉄,パンクラス大阪稲垣組,虎鉄,DEEPウェルター級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,10,B,loss,窪田大羅,evermove,窪田大羅,DEEPウェルター級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,11,A,loss,鈴木 “QP” まい,寒天ファイトスピリット,鈴木“QP”まい,DEEP JEWELSフライ級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,11,B,win,ルリー・サンシャイン,フリー,ルリー・サンシャイン,DEEP JEWELSフライ級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2026-3rd-round,DEEP OSAKA IMPACT,2026-06-21,12,A,win,古根川充,修斗ジムASH,古根川充,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2026-3rd-round/,2026-07-25,,missing,none,clean
