event	row_count
M-1 RAJA BOXING SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.3」	3
M-1「120th ANNIVERSARY OF JAPAN-THAILAND」	3
M-1ムエタイチャレンジ RAORAK MUAY FINAL	3
MAキック	3
MUAYTHAI SUPER CHAMP	3
Max Muay Thai	3
Mix Fight Gala　11	3
Muay Thai Warriors	3
MuayThaiOpen 48	3
NAGOYAKICK 〜BoogieFight07 Black Sunday〜	3
NIGHT OF THE STARS	3
NO KICK NO LIFE	3
Nacht der 8 in Berlin Treptow	3
Night of Revenge	3
Nuit Des Champions	3
Nuit des Champions	3
Planet Battle	3
REBELS.13	3
REBELS.15	3
REBELS.3	3
REBELS.37	3
REBELS.38	3
REBELS.46	3
REBELS.57	3
REBELS.61	3
REBELS.62	3
REBELS.65	3
RWS	3
Rajadumnern Stadium	3
Return of the King 2	3
Ring Sensation	3
S-1 European Elimination	3
S1世界選手権	3
SSSR Championship	3
SuperKombat World Grand Prix I 2012	3
THE BEST OF THE BEST	3
The Challenger 中国	3
The Khan 2	3
Time For Action presents Team SuperPro 10 Year Anniversary	3
Time for Action	3
Toyota Cup 2010 Tournament	3
Toyota Vigo Marathon Tournament	3
Ufa	3
VIP Fight Night 2009	3
W.O.K.A. Super Welterweight World Title Fight	3
W5 Grand Prix Heavyweight tournament	3
WLF 2018 武林風 世界拳王争覇戦 in 温県	3
WMC-IFMA World Muay Thai Championships	3
WOLF REVOLUTION	3
WOLF REVOLUTION 〜First Wave〜	3
Wolf Revolution 〜Third Wave〜	3
XPLOSION SUPER FIGHT 16	3
XPLOSION SUPER FIGHT 17	3
ZIHAD cup STIR KING 2011	3
ギニア Muaythai Tournament	3
スッグ・フェアテック	3
スッグ・ペットインディー	3
タイ・バンコク国立競技場	3
タイ国国王誕生記念大会	3
タイ国王生誕記念大会	3
マーシャルアーツ日本キックボクシング連盟「ADVANCE.1」	3
マーシャルアーツ日本キックボクシング連盟「EXPLOSION-3 〜挑戦者決定戦最終章〜」	3
マーシャルアーツ日本キックボクシング連盟「FINAL EXPLOSION 〜全階級タイトルマッチ〜」	3
マーシャルアーツ日本キックボクシング連盟「SPIRIT」	3
マーシャルアーツ日本キックボクシング連盟「SUPREME-1 〜最高のキック〜」	3
マーシャルアーツ日本キックボクシング連盟「士道館新春正月興行 BREAKDOWN-1」	3
マーシャルアーツ日本キックボクシング連盟「東金ジム炎の7番勝負」	3
ラスベガス	3
ランシット・インターナショナル・スタジアム	3
一撃 5.30 ICHIGEKI	3
東京後楽園ホール	3
武林風 2015	3
燃えろドラゴン! その壱	3
英雄伝説 2012アジア65㎏級チャンピオントーナメント	3
2011藤原祭～冬の陣～	2
A1 World Combat Cup	2
ACCEL18 聖夜祭り	2
ANDY'S GLOVE	2
ANGELS OF FIRE IV	2
All Star Fight 3	2
Angels of Fire III	2
Angels of Fire V	2
BARS	2
BARS - Cup of Arbat	2
BARS - Cup of Arbat Final	2
BARS - Cup of Arbat Finals	2
BARS - Cup of Gold Panther	2
BKFC Thailand 5	2
BLADE.2 -BLADE FIGTHING CHAMPIONSHIP	2
BLADE.2 -BLADE FIGTHING CHAMPIONSHIP- BLADE FC JAPAN CUP -55kg	2
BOM19 – The Battle Of Muay Thai 19	2
BRAVE 2003	2
BRIDGE	2
BURST	2
Bad Boys Day part 1	2
Battle of Arnhem I	2
Beast of the East 2010 Poland	2
BreakingDown13	2
BreakingDown14	2
BreakingDown15	2
BreakingDown16	2
BreakingDown5	2
BreakingDown6	2
BreakingDown7	2
BreakingDown8	2
BreakingDown9	2
CIS(WBKF) Title (+93kg) @ Club Arbat	2
CROSSPOINT presents X-TRA!	2
Campionato Mondiale Thai Boxe	2
Champions of Champions II	2
Combat Banchamek	2
Domination 5	2
Dynamite!! 〜勇気のチカラ2010〜	2
East Side 4	2
Enfusion Kickboxing Final Tour	2
European Championships	2
European Muay Thai Championship	2
Europsko prvenstvo	2
Evolution 16	2
FUTURE FIGHTER IKUSA 5 〜乱〜 MONKEYMAGIC	2
FUTURE FIGHTER IKUSA 6 〜宙(SORA)〜GANGSTAR☆Z＠Velfarre	2
Fair Fight XVI	2
Fight Code	2
Fight Code: Dragon Series Round 2	2
Fight Code: Rhinos Series, Quarter Finals	2
Fight Festival 12	2
Fight Night Mannheim	2
Fight Night Saint Tropez	2
Fight Time	2
Fighters' Night	2
Fights at The Border III	2
Fights at the Border III	2
Freefight en kickbox gala	2
Fujiwara Festival 〜藤原祭り2009〜	2
Full Contact Gala	2
Future Battle	2
GIRLS STANDING FIGHT - Girls SHOCK III	2
Gala in Brediushal	2
Gala in Zilvermeeuwen	2
Gentleman Fight III	2
Gentleman Fight Night III	2
Gentleman Fight Night V	2
Gentleman Fightnight IV	2
Gentleman Promotions Fightnight	2
Gentlemen Promotion	2
German King Cup	2
Global FC 3	2
Gym Alkmmaar Fight Gala	2
HEAT22	2
IKUSA「-初陣- Kick vs. Techno」	2
IKUSA「Young Gunners 2」	2
INOKI BOM-BA-YE 2003 馬鹿になれ夢を持て	2
ISKAフルコンタクト世界ライトヘビー級タイトルマッチ	2
International Profi Tournament	2
Italian Extreme IV tournament	2
JAPAN KICKBOXING INNOVATION	2
JAPAN KICKBOXING INNOVATION 認定 第7回岡山ジム主催興行	2
JNI Promotions	2
Janus FIGHT NIGHT	2
"Janus Fight Night ""The Legend"""	2
Judgement Day	2
"K-2 GRAND PRIX '93 風林火山 ""山の章"""	2
K-ENERGY	2
KAKUMEI	2
KB4 Fightnight	2
KICK the ROOTS 〜BUSTA〜	2
KICK the ROOTS 〜宇都宮キックボクシング〜	2
KICKBOXING MONDIALE 3 LA GRANDE SFIDA	2
KING OF OCEANIA Round2	2
KING OF OCEANIA Round3（XPLOSION SUPER FIGHT 12）	2
KO POWER Tournament	2
KUNLUN FIGHT 49×REBELS.45	2
Kickboxing Champions League	2
Kickboxing Prestige Fight	2
