slug	name	date	event	opponent	methodRaw	promotion	result	note
nitamizu-toshiyuki	二田水 敏幸	2012-12-23	OYAJI & ROOKIES DEEP in KASUGAI 公武堂ファイト	内藤 大樹	3R 判定	SHOOT BOXING	loss	None
naito-taiki	内藤 大樹	2012-12-23	OYAJI & ROOKIES DEEP in KASUGAI 公武堂ファイト	二田水 敏幸	3R 判定	SHOOT BOXING	win	None
hinata	日菜太	2013-03-17	PANCRASE 246 (REBELS提供試合 キックルール)	安河内将一	1R 2:50 TKO	Wikipedia(その他団体)	win	None
saiga-kizaemon	才賀紀左衛門	2014-03-30	PANCRASE 257	キム･ジンクー	2R 2:36 KO（3ダウン：左ボディブロー）	Wikipedia(その他団体)	win	None
hamada-takumi	濱田 巧	2019-02-17	PANCRASE REBELS RING.1	響波	3分3R終了 判定3-0	Wikipedia(その他団体)	win	None
hiroki-suzuki	鈴木宙樹	2019-02-17	PANCRASE REBELS RING.1	ジョン・ラゥィー	1R 0:45 KO（右ストレート）	Wikipedia(その他団体)	win	None
miyamoto-keisuke	宮元啓介	2019-02-17	PANCRASE REBELS RING.1 DAY	KOUMA	3R 判定 勝ち	Wikipedia(その他団体)	win	None
ogasawara-eisaku	小笠原 瑛作	2019-02-17	PANCRASE REBELS RING.1 NIGHT	ペットヤソー・ダームランサラカム	1R 1分28秒 KO（左ハイキック）	Wikipedia(その他団体)	win	None
panchan-rina	ぱんちゃん璃奈	2019-02-17	PANCRASE REBELS RING.1 NIGHT	川島江理沙	2分3R終了 判定3-0	Wikipedia(その他団体)	win	None
hinata	日菜太	2019-02-17	PANCRASE REBELS RING.1 NIGHT	シップムーン・シットシェフブンタム	3R 0:26 KO（左ローキック）	Wikipedia(その他団体)	win	None
buranko-shikatiku	ブランコ・シカティック	1997-10-11	PRIDE.1	ラルフ・ホワイト	1R 1:52 ノーコンテスト（反則）	Wikipedia(その他団体)	unknown	None
tosuka-petoridisu	トスカ・ペトリディス	1998-03-15	PRIDE.2	ビッグ・ジョージ・ランドルフ	5R終了 判定	Wikipedia(その他団体)	win	None
hyuu	陽勇	2024-07-28	PROFESSIONAL SHOOTO 2024 vol.6 in OSAKA	山崎一央	1R 1:46 KO（2ダウン：パンチ連打）	Wikipedia(その他団体)	win	None
hyuu	陽勇	2024-07-28	PROFESSIONAL SHOOTO 2024 vol.6 in OSAKA	奇天烈	1R 1:26 KO（左フック）	Wikipedia(その他団体)	win	None
tairon-supon	タイロン・スポーン	2006-06-18	Pride & Honor Ahoy 2006	セーム・ブラーン	3R 1:40 KO（左フック）	Wikipedia(その他団体)	win	None
kudo-red-reo	工藤“red”玲央	2019-02-17	REBELS『PANCRASE REBELS RING.1』	JIRO	3R 判定0-3	Wikipedia(その他団体)	loss	None
tenshin-nasukawa	那須川天心	2017-04-16	RIZIN 2017 in YOKOHAMA - SAKURA -	フランチェスコ・ギリオッティ	1R KO	RISE	win	None
yura	YURA	2024-12-31	RIZIN DECADE	朝久泰央	3R 判定	RISE	loss	None
asahisa-taio	朝久 泰央	2024-12-31	RIZIN DECADE 雷神番外地	YURA	3R 3分00秒 判定（3-0）	RIZIN	win	None
shinotsuka-tatsuki	篠塚 辰樹	2024-12-31	RIZIN DECADE 雷神番外地	野田蒼	1R 2分07秒 TKO（スリーノックダウン）	RIZIN	win	None
aoi-noda	野田蒼	2024-12-31	RIZIN DECADE 雷神番外地	篠塚辰樹	1R 2分07秒 TKO（スリーノックダウン）	RIZIN	loss	None
bobu-sapu	ボブ・サップ	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	曙	2R 0:47 負傷判定3-0	RIZIN	win	None
tenshin-nasukawa	那須川天心	2017-07-30	RIZIN FIGHTING WORLD GRAND-PRIX 2017 バンタム級トーナメント 1st ROUND -夏の陣-	才賀紀左衛門	1R KO	RISE	win	None
tenshin-nasukawa	那須川天心	2017-10-15	RIZIN FIGHTING WORLD GRAND-PRIX 2017 バンタム級トーナメント 1st ROUND -秋の陣-	藤田大和	3R 判定	RISE	win	None
jin-2	JIN	2024-11-17	RIZIN LANDMARK 10 in NAGOYA	としぞう	3R 判定	RISE	win	None
toshizou	としぞう	2024-11-17	RIZIN LANDMARK 10 in NAGOYA	JIN	3R 判定（3-0）	RIZIN	loss	None
ueno-kanata	上野 奏貴	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	山川賢誠	3R 判定（3-0）	RIZIN	win	None
kyohei-nishijima	西島恭平	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	林 修斗	3R 判定	RISE	loss	None
ueno-kuto	上野 空大	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	ファーパヤップ・GRABS	3R 判定（3-0）	RIZIN	win	None
farphayap-grabs	ファーパヤップ・GRABS	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	上野空大	3R 判定（3-0）	RIZIN	loss	None
uzawa-yuya	鵜澤 悠也	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	としぞう	3R 判定（0-3）	RIZIN	win	None
kensei-yamakawa	山川賢誠	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	上野奏貴	3R 判定（3-0）	RIZIN	loss	None
toshizou	としぞう	2025-06-14	RIZIN LANDMARK 11 in SAPPORO	鵜澤悠也	3R 判定（0-3）	RIZIN	loss	None
yumeto-mizuno	水野夢斗	2025-11-03	RIZIN LANDMARK 12	KING陸斗	1R TKO	RISE	loss	None
king-rikuto	KING陸斗	2025-11-03	RIZIN LANDMARK 12	水野夢斗	1R TKO	RISE	win	None
motoki	元氣	2025-11-03	RIZIN LANDMARK 12 in KOBE	林眞平	3R 判定（0-3）	RIZIN	loss	None
hayashi-shinpei	林 眞平	2025-11-03	RIZIN LANDMARK 12 in KOBE	元氣	3R 判定（0-3）	RIZIN	win	None
shoma-2	翔磨	2025-11-03	RIZIN LANDMARK 12 in KOBE	赤平大治	3R 判定（3-0）	RIZIN	loss	None
uchida-sho	内田 晶	2026-06-06	RIZIN LANDMARK 14 in SENDAI	赤平大治	3R判定（0-3）	RIZIN	win	None
saito-koya	齋藤 紘也	2026-06-06	RIZIN LANDMARK 14 in SENDAI	TAaaaCHAN	1R 1分25秒 TKO（3ノックダウン）	RIZIN	win	None
taaaachan-185	TAaaaCHAN	2026-06-06	RIZIN LANDMARK 14 in SENDAI	齋藤紘也	1R 1分25秒 TKO（3ノックダウン）	RIZIN	loss	None
yusuke-iwaki	岩城悠介	2026-06-06	RIZIN LANDMARK 14 in SENDAI	中泉翔	3R 0分47秒 KO（スタンドでの膝打撃）	RIZIN	win	None
karyu-giburein	カリュ・ギブレイン	2022-11-06	RIZIN LANDMARK 4 in NAGOYA	貴賢神	1R KO	RISE	win	None
shuto-sato	佐藤執斗	2022-11-07	RIZIN LANDMARK 4 in NAGOYA	KAZUNORI	1R KO	SHOOT BOXING	win	None
mikuru-asakura	朝倉未来	2023-04-29	RIZIN LANDMARK 5	牛久絢太郎	3R 判定	RISE	win	None
naito-ryota	内藤凌太	2023-10-01	RIZIN LANDMARK 6 in NAGOYA	竹野 元稀	3R 判定	SHOOT BOXING	loss	None
takeno-genki	竹野 元稀	2023-10-01	RIZIN LANDMARK 6 in NAGOYA	内藤 凌太	3R 判定	SHOOT BOXING	win	None
takumi-terada	寺田 匠	2024-02-24	RIZIN LANDMARK 8 in SAGA	冨永武聖	1R TKO	RISE	win	None
furumura-kyohei	古村 匡平	2024-02-24	RIZIN LANDMARK 8 in SAGA	REITO BRAVELY	1R 1分49秒 TKO（レフェリーストップ）	RIZIN	loss	None
rikito	力斗	2024-02-24	RIZIN LANDMARK 8 in SAGA	般若HASHIMOTO	3R 判定（0-3）	RIZIN	win	None
ishigo-keito	石郷 慶人	2024-02-24	RIZIN LANDMARK 8 in SAGA	片島聡志	3R 判定（0-2）	RIZIN	loss	None
reito-bravely-163	REITO BRAVELY	2024-02-24	RIZIN LANDMARK 8 in SAGA	古村匡平	1R 1分49秒 TKO（レフェリーストップ）	RIZIN	win	None
katashima-satoshi	片島 聡志	2024-02-24	RIZIN LANDMARK 8 in SAGA	石郷慶人	3R 判定（0-2）	RIZIN	win	None
hannya-hashimoto	般若HASHIMOTO	2024-02-24	RIZIN LANDMARK 8 in SAGA	力斗	3R 判定（0-3）	RIZIN	loss	None
takekiyo-tominaga	冨永武聖	2024-02-24	RIZIN LANDMARK 8 in SAGA	寺田 匠	1R TKO	RISE	loss	None
yuya	憂也	2024-03-23	RIZIN LANDMARK 9 in KOBE	蛇鬼将矢	2R TKO	RISE	win	None
buakao-banchameku	ブアカーオ・バンチャメーク	2024-03-23	RIZIN LANDMARK 9 in KOBE	木村“フィリップ”ミノル	2R 1分10秒 KO（右ストレート）	RIZIN	win	None
shun-matsuyama	松山 瞬	2024-03-23	RIZIN LANDMARK 9 in KOBE	櫻井芯	3R 1分55秒 KO（右ストレート）	RIZIN	win	None
aoi-noda	野田蒼	2024-03-23	RIZIN LANDMARK 9 in KOBE	上村雄音	2R TKO	RISE	loss	None
jaki-masaya	蛇鬼将矢	2024-03-23	RIZIN LANDMARK 9 in KOBE	憂也	2R 2分25秒 TKO（レフェリーストップ）	RIZIN	loss	None
kimura-philip-minoru	木村“フィリップ”ミノル	2024-03-23	RIZIN LANDMARK 9 in KOBE	ブアカーオ・バンチャメーク	2R 1分10秒 KO（右ストレート）	RIZIN	loss	None
yuto-uemura	上村雄音	2024-03-23	RIZIN LANDMARK 9 in KOBE	野田 蒼	2R TKO	RISE	win	None
shin-sakurai	櫻井 芯	2024-03-24	RIZIN LANDMARK 9 in KOBE OPENING FIGHT	松山 瞬	3R KO	RISE	loss	None
mikuru-asakura	朝倉未来	2021-10-02	RIZIN LANDMARK vol.1	萩原京平	3R 判定	RISE	win	None
jin-mandokoro	政所 仁	2021-11-28	RIZIN TRIGGER 1st	平松 侑	2R KO	RISE	win	None
teparito-joujimu	テーパリット・ジョウジム	2021-11-28	RIZIN TRIGGER 1st	市村大斗	2RKO	RISE	win	None
momoka-2	百花	2021-11-28	RIZIN TRIGGER 1st	未來	3R判定	RISE	win	None
kitagawa-yuki	北川 裕紀	2022-02-23	RIZIN TRIGGER 2nd	竹内 皇貴	3R 判定	SHOOT BOXING	loss	None
jo-sanhe	ジョ・サンヘ	2025-05-31	RIZIN WORLD SERIES in KOREA	宇佐美 秀 メイソン	3R 判定	RISE	draw	None
usami-hide-meison	宇佐美 秀 メイソン	2025-05-31	RIZIN WORLD SERIES in KOREA	ジョ・サンヘ	3R 判定	RISE	draw	None
rena	RENA	2016-04-17	RIZIN.1	シンディ・アルベス	3R 判定	SHOOT BOXING	win	None
nakamura-yusaku	中村 優作	2018-05-06	RIZIN.10	那須川天心	2R 1:42 TKO（3ダウン）	RIZIN	loss	None
tenshin-nasukawa	那須川天心	2018-05-06	RIZIN.10	中村優作	2R KO	RISE	win	None
uzatsuyo-yoshiya	ウザ強ヨシヤ	2018-07-28	RIZIN.11	海 人	2RKO	RISE	loss	None
kaito-2	海人	2018-07-29	RIZIN.11	ウザ強ヨシヤ	2R KO	SHOOT BOXING	win	None
kaito-2	海人	2018-08-12	RIZIN.12	小川 翔	3R 判定	SHOOT BOXING	win	None
naito-taiki	内藤 大樹	2018-08-12	RIZIN.12	般若 HASHIMOTO	2R KO	SHOOT BOXING	win	None
okuyama-takahiro	奥山 貴大	2018-08-12	RIZIN.12	松倉 信太郎	2R KO	SHOOT BOXING	loss	None
shuto-sato	佐藤執斗	2018-08-12	RIZIN.12	瀧谷 渉太	3R 判定	SHOOT BOXING	loss	None
taiga	大雅	2018-09-30	RIZIN.13	原口健飛	3R 判定 ドロー（0-1）	RIZIN	draw	None
kento-haraguchi	原口健飛	2018-09-30	RIZIN.13	大雅	3R 判定	RISE	draw	None
tenshin-nasukawa	那須川天心	2018-09-30	RIZIN.13	堀口恭司	3R 判定	RISE	win	None
thalisson-crazy-cyclone	タリソン“Crazy Cyclone”フェレイラ	2019-04-21	RIZIN.15	大雅	2R KO	RISE	win	None
taiga	大雅	2019-04-21	RIZIN.15	タリソン・ゴメス・フェレイラ	2R 2分34秒 TKO(3ノックダウン)	RIZIN	loss	None
tenshin-nasukawa	那須川天心	2019-04-21	RIZIN.15	フリッツ・ビアグタン	3R KO	RISE	win	None
yuya	憂也	2019-06-02	RIZIN.16	田中STRIKE雄基	1R 2分45秒 TKO	RIZIN	win	None
tanaka-strike-yuki	田中STRIKE雄基	2019-06-02	RIZIN.16	憂也	1R 2分45秒 TKO	RIZIN	loss	None
horio-ryuji	堀尾 竜司	2019-06-02	RIZIN.16	国崇	3R 判定（0-3）	RIZIN	win	None
seiki-ueyama	植山征紀	2019-06-02	RIZIN.16	拳剛	1R TKO	SHOOT BOXING	win	None
kunitaka	国崇	2019-06-02	RIZIN.16	堀尾竜司	3R 判定（0-3）	RIZIN	loss	None
hiroto-yamaguchi	山口裕人	2019-06-02	RIZIN.16	白鳥大珠	3R 判定（0-3）	RIZIN	loss	None
taiju-shiratori	白鳥大珠	2019-06-02	RIZIN.16	山口裕人	3R 判定（0-3）	RIZIN	win	None
kengo	拳剛	2019-06-02	RIZIN.16	植山征紀	1R 2分42秒 TKO	RIZIN	loss	None
tenshin-nasukawa	那須川天心	2019-06-02	RIZIN.16	マーティン・ブランコ	2R KO	RISE	win	None
kan-nakamura	中村 寛	2019-06-02	RIZIN.16	一刀	2R KO	RISE	win	None
machida-hikaru	町田 光	2019-07-28	RIZIN.17	大雅	3R 判定（3-0）	RIZIN	loss	None
watabe-daiki	渡部 太基	2019-07-28	RIZIN.17	Hideki	3R 判定（0-2）	RIZIN	loss	None
taiga	大雅	2019-07-28	RIZIN.17	町田光	3R 判定（3-0）	RIZIN	win	None
kazuki-osaki	大﨑一貴	2019-08-18	RIZIN.18	瀧谷渉太	3R 判定	RISE	win	None
seiki-ueyama	植山征紀	2019-10-12	RIZIN.19	梅井 泰成	3R 判定	SHOOT BOXING	win	None
hiroya	HIROYA	2019-10-12	RIZIN.19	小西拓槙	1R 1分20秒 TKO（レフェリーストップ）	RIZIN	loss	None
taisei-umei	梅井泰成	2019-10-12	RIZIN.19	植山征紀	3R 判定（3-0）	RIZIN	loss	None
taiga	大雅	2019-10-12	RIZIN.19	白鳥大珠	3R 判定	RISE	loss	None
taiju-shiratori	白鳥大珠	2019-10-12	RIZIN.19	大雅	3R 判定	RISE	win	None
konishi-takuma	小西 拓槙	2019-10-12	RIZIN.19	HIROYA	1R 1分20秒 TKO（レフェリーストップ）	RIZIN	win	None
rui-ebata	江幡 塁	2019-12-31	RIZIN.20	那須川天心	1R 2分46秒 TKO（3ノックダウン）	RIZIN	loss	None
taiga	大雅	2019-12-31	RIZIN.20	白鳥大珠	2R TKO	RISE	loss	None
taiju-shiratori	白鳥大珠	2019-12-31	RIZIN.20	大雅	2R TKO	RISE	win	None
tenshin-nasukawa	那須川天心	2019-12-31	RIZIN.20	江幡 塁	1R KO	RISE	win	None
yuya	憂也	2020-02-22	RIZIN.21	康輝	1R 2分30秒 KO（パンチ連打）	RIZIN	win	None
seido	SEIDO	2020-02-22	RIZIN.21	ヘンリー・セハス	3R判定	RISE	loss	None
jitsukata-kosuke	実方 宏介	2020-02-22	RIZIN.21	酒井リョウ	1R 1分28秒 KO（右フック）	RIZIN	win	None
koki-4	康輝	2020-02-22	RIZIN.21	憂也	1R 2分30秒 KO（パンチ連打）	RIZIN	loss	None
takeuchi-kenichi	竹内賢一	2020-02-22	RIZIN.21	直也	3R 判定 （3-0）	RIZIN	win	None
naoya	直也	2020-02-22	RIZIN.21	竹内賢一	3R 判定 （3-0）	RIZIN	loss	None
rui-ebata	江幡 塁	2020-08-09	RIZIN.22	植山征紀	3R判定	RISE	win	None
yushin	優心	2020-08-09	RIZIN.22 - STARTING OVER -	吉成名高	2R 3分8秒 TKO（レフェリーストップ：左ひじ）	RIZIN	loss	None
seiki-ueyama	植山征紀	2020-08-09	RIZIN.22 -STARTING OVER-	江幡 塁	3R 判定	SHOOT BOXING	loss	None
matsukura-shintaro	松倉 信太郎	2020-08-10	RIZIN.23 - CALLING OVER -	森興二	1R 1分28秒 KO（右フック）	RIZIN	win	None
kaito-2	海人	2020-08-10	RIZIN.23 -CALLING OVER-	ルクク・ダリ	3R 判定	SHOOT BOXING	win	None
taiga	大雅	2020-08-10	RIZIN.23– CALLING OVER -	原口健飛	1R KO	RISE	loss	None
kento-haraguchi	原口健飛	2020-08-10	RIZIN.23– CALLING OVER -	大雅	1R KO	RISE	win	None
kitagawa-yuki	北川 裕紀	2020-09-27	RIZIN.24	平塚 大士	2R KO	SHOOT BOXING	loss	None
rikuto-shirakawa	白川陸斗	2020-11-21	RIZIN.25	朴 光哲	3R TKO	RISE	win	None
shuto-sato	佐藤執斗	2020-11-21	RIZIN.25	政所 仁	3R 判定	SHOOT BOXING	loss	None
taiga	大雅	2020-03-21	RIZIN.27	基山幹太	3R終了 判定3-0	RIZIN	win	None
naito-ryota	内藤凌太	2021-03-21	RIZIN.27	HIROKI	3R 判定	SHOOT BOXING	win	None
naito-ryota	内藤凌太	2021-03-21	RIZIN.27	弘樹	3R 判定	RISE	win	None
kanta-motoyama	基山幹太	2021-03-21	RIZIN.27	大雅	3R 判定	SHOOT BOXING	loss	None
shuto-sato	佐藤執斗	2021-03-21	RIZIN.27	國本 真義	3R 判定	SHOOT BOXING	draw	None
seiki-ueyama	植山征紀	2021-06-27	RIZIN.29	泉 丈成	2R TKO	SHOOT BOXING	win	None
rikuto-shirakawa	白川陸斗	2021-06-27	RIZIN.29	青井 人	3R 判定	RISE	win	None
momoka-2	百花	2021-09-19	RIZIN.30	ぱんちゃん璃奈	3R判定	RISE	loss	None
rikuto-shirakawa	白川陸斗	2021-10-24	RIZIN.31	山本琢也	1R TKO	RISE	win	None
ryoga-terayama	寺山遼冴	2021-11-20	RIZIN.32	弘 樹	3R判定	RISE	win	None
hirokatsu-miyagi	宮城寛克	2021-11-27	RIZIN.32	ロペス薩摩	1RKO	RISE	win	None
jaki-masaya	蛇鬼将矢	2022-03-20	RIZIN.34	こうた	1RKO	RISE	win	None
yuki-kasahara	笠原友希	2022-03-20	RIZIN.34	元氣	1R TKO	SHOOT BOXING	win	None
ryuki	Ryuki	2022-03-20	RIZIN.34	山本歩夢	1R KO	RISE	win	None
shuto-sato	佐藤執斗	2022-03-20	RIZIN.34	政所 仁	ノーコンテスト 1R	SHOOT BOXING	no_contest	None
hirokatsu-miyagi	宮城寛克	2022-07-02	RIZIN.36	吉野友規	3R 判定	RISE	win	None
yusaku-ishizuki	石月祐作	2022-07-31	RIZIN.37	笠原弘希	3R 判定	RISE	loss	None
hiroki-kasahara	笠原弘希	2022-07-31	RIZIN.37	石月 祐作	3R 判定	SHOOT BOXING	win	None
ryusei-2	龍聖	2022-07-31	RIZIN.37	魁志	3R 1:23 KO	RIZIN	win	None
shin-sakurai	櫻井 芯	2023-04-01	RIZIN.41	麻太郎	3R 判定	RISE	loss	None
motoki	元氣	2023-04-01	RIZIN.41	駿	1R KO	RISE	loss	None
kouji	皇治	2023-04-01	RIZIN.41	芦澤竜誠	3R 判定 （1-2）	RIZIN	loss	None
