slug	name	date	event	opponent	methodRaw	promotion	result	note
daniro-zanorini	ダニロ・ザノリニ	2016-04-17	TOP Presents RIZIN.1	網本規久	1R 2:19 TKO（3ノックダウン）	RIZIN	win	None
yamato-tetsuya	大和 哲也	2016-04-17	TOP Presents RIZIN.1	山口裕人	1R 2:37 TKO（3ノックダウン）	RIZIN	win	None
no-jiegiru	ノ・ジェギル	2011-06-26	World Championship MUAY THAI Matter of Pride	Lu Jian Cao	3R終了 判定34-33	Wikipedia(その他団体)	win	None
no-jiegiru	ノ・ジェギル	2011-06-26	World Championship MUAY THAI Matter of Pride	Michael Badato	3R終了 判定44-43	Wikipedia(その他団体)	win	None
mutsuki-ebata	江幡 睦	2020-09-27	Yogibo presents RIZIN.24	良 星	3R判定	RISE	win	None
taishi-hiratsuka	平塚大士	2020-09-27	Yogibo presents RIZIN.24	北川裕紀	2R 27秒 KO	RIZIN	win	None
kouji	皇治	2020-09-27	Yogibo presents RIZIN.24	那須川天心	3R 判定 （3-0）	RIZIN	loss	None
tenshin-nasukawa	那須川天心	2020-09-27	Yogibo presents RIZIN.24	皇治	3R 判定	RISE	win	None
rasta	良星	2020-09-27	Yogibo presents RIZIN.24	江幡 睦	3R判定	RISE	loss	None
jin-mandokoro	政所 仁	2020-11-21	Yogibo presents RIZIN.25	佐藤執斗	3R 判定 （3-0）	RIZIN	win	None
taiga	大雅	2020-11-21	Yogibo presents RIZIN.25	山畑雄摩	3R判定	RISE	win	None
sano-isami	佐野 勇海	2020-11-21	Yogibo presents RIZIN.25	江畑秀範	3R 判定 （0-3）	RIZIN	win	None
yuma-yamaguchi	山口侑馬	2020-11-21	Yogibo presents RIZIN.25	麻原将平	3RTKO	RISE	loss	None
yuma-yamahata	山畑雄摩	2020-11-21	Yogibo presents RIZIN.25	大雅	3R 判定 （3-0）	RIZIN	loss	None
shohei-asahara	麻原将平	2020-11-21	Yogibo presents RIZIN.25	山口侑馬	3RKO	RISE	win	None
tenshin-nasukawa	那須川天心	2020-12-31	Yogibo presents RIZIN.26	クマンドーイ・ペットジャルーンウィット	3R 判定	RISE	win	None
