slug,org,date,event,opponentRaw,ownRaw,resultType,matchLabel,matchedAgainst
ryoga,DEEP,2021-10-17,DEEP TOKYO IMPACT 2021 1st ROUND,ヒロヤ,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2022-03-12,DEEP TOKYO IMPACT 2022 1st ROUND,日比野“エビ中”純也,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2022-10-30,DEEP OKINAWA IMPACT 2022,TARKER,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2022-11-23,DEEP TOKYO IMPACT 2022 6th ROUND,濱口奏琉,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2022-12-11,DEEP TOKYO IMPACT 2022 7th ROUND,駒杵嵩大,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2023-07-23,DEEP X NARIAGARI,吉田仁,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2023-12-10,DEEP 117 IMPACT,Max,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2024-12-08,DEEP TOKYO IMPACT 2024 6th ROUND,橋本優大,RYOGA,decisive,no_match_found,(none)
ryoga,DEEP,2025-05-25,DEEP TOKYO IMPACT 2025 3rd ROUND,咲季,RYOGA,decisive,no_match_found,(none)
kawakita-haruki,パンクラス,2023-07-09,PANCRASE 336,高城光弘,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2023-03-26,PANCRASE 332,鬼神光司,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2021-09-12,PANCRASE 323,風間敏臣,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2021-09-12,PANCRASE 323,小川隼也,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2021-06-27,PANCRASE 322,内山拓真,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2020-12-13,PANCRASE 320,高橋拓也,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2020-09-27,PANCRASE 318 -Beyond317-,橋上壮馬,川北晏生,decisive,nfkc_whitespace,川北 晏生
kawakita-haruki,パンクラス,2020-02-16,PANCRASE312,山中憲次,川北晏生,decisive,nfkc_whitespace,川北 晏生
motonomiki,DEEP,2019-06-09,DEEP JEWELS 24,長野美香,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2019-12-15,DEEP 93 IMPACT,パク・チヨン,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2020-02-24,DEEP JEWELS 28,ノンパン・ザ・ロケット,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2020-07-23,DEEP JEWELS 29,赤林檎,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2020-12-19,DEEP JEWELS 31,伊澤星花,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2022-03-12,DEEP JEWELS 36,にっせー,本野美樹,decisive,exact,本野美樹
motonomiki,DEEP,2022-11-23,DEEP JEWELS 39,須田萌里,本野美樹,decisive,exact,本野美樹
salt,RIZIN,2023-06-24,RIZIN.43,大島沙緒里,ソルト,decisive,exact,ソルト
salt,RIZIN,2025-06-14,RIZIN LANDMARK 11 in SAPPORO,万智,ソルト,decisive,exact,ソルト
salt,パンクラス,2024-09-29,PANCRASE 347,藤野恵実,ソルト,decisive,exact,ソルト
salt,パンクラス,2023-04-30,PANCRASE 333,KAREN,ソルト,decisive,exact,ソルト
salt,パンクラス,2022-12-25,PANCRASE 330,KAREN,ソルト,decisive,exact,ソルト
raika,修斗,2022-09-19,PROFESSIONAL SHOOTO 2022 Vol.6,杉本 恵,ライカ,decisive,exact,ライカ
raika,修斗,2022-11-27,PROFESSIONAL SHOOTO 2022 Vol.7,キム ソ ユル,ライカ,decisive,exact,ライカ
raika,DEEP,2014-12-31,DEEP DREAM IMPACT 2014～大晦日special～,杉山しずか,ライカ,decisive,exact,ライカ
raika,DEEP,2016-11-03,DEEP JEWELS 14,ガン・ジンヒ,ライカ,decisive,exact,ライカ
raika,DEEP,2017-02-25,DEEP JEWELS 15,空手こまち,ライカ,decisive,exact,ライカ
lightyear-daiki,RIZIN,2021-11-28,RIZIN TRIGGER 1st,釜谷真,ダイキ・ライトイヤー,decisive,quote_symbol,ダイキ ライトイヤー
lightyear-daiki,RIZIN,2024-03-23,RIZIN LANDMARK 9 in KOBE,金太郎,ダイキ・ライトイヤー,decisive,quote_symbol,ダイキ ライトイヤー
lightyear-daiki,RIZIN,2026-05-10,RIZIN.53,梅野源治,ダイキ・ライトイヤー,decisive,quote_symbol,ダイキ ライトイヤー
sugimoto-megumi,DEEP,2013-11-04,DEEP JEWELS 2,藤森祥子,杉本 恵,decisive,exact,杉本 恵
sugimoto-megumi,DEEP,2015-08-29,DEEP JEWELS 9,向奈都美,杉本 恵,decisive,exact,杉本 恵
sugimoto-megumi,DEEP,2021-03-07,DEEP JEWELS 32,伊澤星花,杉本恵,decisive,nfkc_whitespace,杉本 恵
endoraiki,RIZIN,2023-06-24,RIZIN.43,関鉄矢,遠藤来生,decisive,exact,遠藤来生
endoraiki,RIZIN,2025-06-14,RIZIN LANDMARK 11 in SAPPORO,ザーシバーディン,遠藤来生,decisive,exact,遠藤来生
endoraiki,DEEP,2020-03-01,DEEP 94 IMPACT,神田コウヤ,遠藤来生,decisive,exact,遠藤来生
ushiku-juntaro,パンクラス,2013-09-07,PANCRASE 251,柳井康作,牛久絢太郎,decisive,exact,牛久絢太郎
ushiku-juntaro,パンクラス,2013-05-19,PANCRASE247,柳井康作,牛久絢太郎,draw,exact,牛久絢太郎
ushiku-juntaro,パンクラス,2013-01-12,PANCRASE244,工藤修久,牛久絢太郎,decisive,exact,牛久絢太郎
ushiku-juntaro,パンクラス,2013-01-12,PANCRASE244,深澤駿,牛久絢太郎,decisive,exact,牛久絢太郎
ushiku-juntaro,パンクラス,2012-10-06,PANCRASE 2012 PROGRESS TOUR,高岡尚裕,牛久絢太郎,decisive,exact,牛久絢太郎
ushiku-juntaro,パンクラス,2012-08-05,PANCRASE 2012 PROGRESS TOUR,垣崎貴之,牛久絢太郎,decisive,exact,牛久絢太郎
kurobe-kazusa,修斗,2024-04-07,SHOOTO GIG TOKYO Vol.36,澤田 龍人,黒部 和沙,decisive,nfkc_whitespace,黒部和沙
kurobe-kazusa,修斗,2026-01-18,【第2部】PROFESSIONAL SHOOTO 2026 Vol.1,旭那 拳,黒部 和沙,decisive,nfkc_whitespace,黒部和沙
kurobe-kazusa,修斗,2026-05-31,PROFESSIONAL SHOOTO 2026 Vol.4 in OSAKA,田上 こゆる,黒部 和沙,decisive,nfkc_whitespace,黒部和沙
isao,パンクラス,2011-05-03,PANCRASE 2011 IMPRESSIVE TOUR,田村ヒビキ,ISAO,decisive,exact,ISAO
isao,パンクラス,2008-12-07,PANCRASE 2008 SHINING TOUR,徳重祐樹,ISAO,draw,exact,ISAO
isao,パンクラス,2008-10-01,PANCRASE 2008 SHINING TOUR,草ホンマン,ISAO,draw,exact,ISAO
nakajima-riku,修斗,2025-09-07,BORDER2025「The2nd」,ムテカツ,中島 陸,decisive,exact,中島 陸
nakajima-riku,修斗,2026-03-30,Lemino修斗.4,エリー ワイズ,中島 陸,decisive,exact,中島 陸
yuki-daiki,パンクラス,2016-03-13,PANCRASE276,河村泰博,結城大樹,decisive,nfkc_whitespace,結城 大樹
yuki-daiki,パンクラス,2015-12-20,PANCRASE 274,山口カケル,結城大樹,decisive,nfkc_whitespace,結城 大樹
tyson-nobumitsu,RIZIN,2018-12-31,Cygames presents RIZIN.14,トフィック・ムサエフ,大尊伸光,decisive,nfkc_whitespace,大尊 伸光
tyson-nobumitsu,RIZIN,2022-12-31,湘南美容クリニック presents RIZIN.40,ジョニー・ケース,大尊伸光,decisive,nfkc_whitespace,大尊 伸光
huang-jenny,パンクラス,2023-12-24,PANCRASE 340,SARAMI,ジェニー・ファン,decisive,quote_symbol,ジェニー ファン
huang-jenny,パンクラス,2022-12-25,PANCRASE 330,沙弥子,ジェニー・ファン,decisive,quote_symbol,ジェニー ファン
takamoto-chiyo,パンクラス,2023-09-24,PANCRASE 337,KAREN,高本千代,decisive,nfkc_whitespace,高本 千代
takamoto-chiyo,パンクラス,2023-04-30,PANCRASE 333,重田ホノカ,高本千代,decisive,nfkc_whitespace,高本 千代
