slug,name,history_index,date,event,opponent,result,org,events_on_that_date
majima-kazumasa,摩嶋 一整,19,2015-06-21,修斗 闘裸男15 ～DIRECTION OF THE CAGE～ 【修斗新人王決定トーナメント ライト級 1回戦】,岩本達彦,win,SHOOTO,VTJ in OSAKA
hiroya,ヒロヤ,17,2020-12-18,DEEP TOKYO IMPACT 2020,原虎徹,loss,DEEP,(none)
shinryu-makoto,神龍 誠,21,2018-10-27,DEEP 86 IMPACT,中山ハルキ,win,DEEP,(none)
shinryu-makoto,神龍 誠,24,2017-12-24,DEEP OSAKA IMPACT,獅庵,win,DEEP,(none)
ougikubo-hiromasa,扇久保 博正,17,2019-05-06,修斗 【修斗世界フライ級チャンピオンシップ】,清水清隆,win,SHOOTO,SHOOTO 30th ANNIVERSARY TOUR 30周年記念大会 第1部 Supported by ONE Championship; SHOOTO 30th ANNIVERSARY TOUR 30周年記念大会 第2部 Supported by ONE Championship
ougikubo-hiromasa,扇久保 博正,22,2015-11-29,修斗,猿田洋祐,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,26,2013-03-16,修斗 2013年第2戦 【修斗世界フェザー級チャンピオンシップ】,堀口恭司,loss,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,27,2012-05-18,修斗 【修斗世界フェザー級チャンピオンシップ】,岡嵜康悦,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,28,2012-01-08,修斗 ISAMI presents サバイバートーナメント決勝戦 【修斗環太平洋フェザー級チャンピオンシップ】,徹肌ィ郎,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,29,2011-04-03,修斗 BORDER -season 3- 「春雷」 【修斗環太平洋フェザー級チャンピオン決定戦】,松本輝之,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,30,2010-09-23,"修斗 The Way of SHOOTO 05 〜Like a Tiger, Like a Dragon〜",田澤聡,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,31,2010-05-30,"修斗 The Way of SHOOTO 03 〜Like a Tiger, Like a Dragon〜",エドゥアルド・ダンタス,loss,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,32,2009-10-18,修斗 SHOOTO GIG TOKYO 3 【修斗環太平洋フェザー級チャンピオン決定戦】,岡嵜康悦,loss,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,33,2009-03-20,"""修斗伝承 06"" ROAD TO 20th ANNIVERSARY",徹肌ィ郎,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,34,2008-11-29,"""修斗伝承 04"" ROAD TO 20th ANNIVERSARY",田澤聡,draw,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,35,2008-07-18,"""修斗伝承 02"" ROAD TO 20th ANNIVERSARY",田中ヒロユキ,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,36,2007-12-08,修斗 【新人王決定トーナメント フェザー級 決勝】,金山康宏,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,37,2007-09-22,修斗 BACK TO OUR ROOTS 05 【新人王決定トーナメント フェザー級 準決勝】,田村和也,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,38,2007-06-30,修斗 【新人王決定トーナメント フェザー級 2回戦】,太田悟,win,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,39,2007-03-04,修斗 下北沢修斗劇場 第17弾 〜男はつよいよ〜,矢作尚紀,draw,SHOOTO,(none)
ougikubo-hiromasa,扇久保 博正,40,2006-10-01,修斗 下北沢修斗劇場 第16弾 〜燃えろいい男〜,マイク・ハヤカワ,win,SHOOTO,(none)
motoya-yuki,元谷 友貴,27,2018-10-27,DEEP 86 IMPACT 【DEEPバンタム級王座決定戦】,釜谷真,win,DEEP,(none)
motoya-yuki,元谷 友貴,35,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,フェリペ・エフライン,nc,RIZIN,(none)
motoya-yuki,元谷 友貴,37,2015-05-17,DEEP 72 IMPACT,チェ・ジョンホン,win,DEEP,(none)
motoya-yuki,元谷 友貴,44,2013-04-14,DEEP TOYAMA IMPACT 11,青山忍,win,DEEP,(none)
motoya-yuki,元谷 友貴,45,2012-12-08,DEEP CAGE IMPACT 2012 in TOKYO 2nd ROUND,"柴田""MONKEY""有哉",win,DEEP,(none)
motoya-yuki,元谷 友貴,46,2012-07-22,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 決勝戦】,木部亮,win,DEEP,(none)
motoya-yuki,元谷 友貴,47,2012-07-22,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 準決勝】,加藤直之,win,DEEP,(none)
motoya-yuki,元谷 友貴,48,2012-03-25,DEEP NAGOYA IMPACT 公武堂ファイト 【フライ級王者決定トーナメント 1回戦】,崎村暁東,win,DEEP,(none)
motoya-yuki,元谷 友貴,49,2011-11-27,DEEP CAGE IMPACT 2011 in TOYAMA,加藤直之,loss,DEEP,(none)
motoya-yuki,元谷 友貴,50,2011-10-09,club DEEP 公武堂ファイト,春日井“寒天”たけし,loss,DEEP,(none)
motoya-yuki,元谷 友貴,51,2011-08-21,Club DEEP in DIANA 2,板谷一樹,win,DEEP,(none)
motoya-yuki,元谷 友貴,52,2011-07-10,DEEP CAGE IMPACT 2011 in Nagoya,石田ガリット勝也,win,DEEP,(none)
yachi-yusuke,矢地 祐介,34,2013-03-16,修斗 2013年第2戦 【修斗環太平洋ライト級チャンピオンシップ】,星野勇二,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,35,2012-11-11,修斗 【修斗環太平洋ライト級チャンピオン決定戦】,美木航,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,36,2012-07-16,修斗,田村彰敏,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,37,2012-03-10,修斗,大澤茂樹,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,38,2011-12-18,修斗 THE ROOKIE TOURNAMENT 2011 FINAL,ジャングル伊藤,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,39,2011-05-18,修斗 SHOOTO GIG TOKYO Vol.6,ガイ・デルモ,loss,SHOOTO,(none)
yachi-yusuke,矢地 祐介,40,2010-12-18,修斗 THE ROOKIE TOURNAMENT 10 FINAL,門脇英基,loss,SHOOTO,(none)
yachi-yusuke,矢地 祐介,41,2010-09-23,修斗 The Way of SHOOTO 05,キム・ジンヒョン,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,42,2010-03-22,修斗 The Way of SHOOTO 02,戸井田カツヤ,loss,SHOOTO,(none)
yachi-yusuke,矢地 祐介,43,2009-12-13,修斗 THE ROOKIE TOURNAMENT 09 FINAL 【新人王決定トーナメント ライト級 決勝】,ジャックナイフツネオ,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,44,2009-09-22,修斗 REVOLUTIONARY EXCHANGES 2 【新人王決定トーナメント ライト級 準決勝】,小林ミツル,win,SHOOTO,(none)
yachi-yusuke,矢地 祐介,45,2009-04-10,修斗 SHOOTING DISCO 8 【新人王決定トーナメント ライト級 1回戦】,丸井憲一郎,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,25,2017-04-09,修斗 香川大会『FORCE07』,パク・ミンゼ,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,28,2014-07-06,修斗 SHOOTO GIG WEST 16,オニボウズ,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,29,2014-04-27,修斗 BORDER-season6-「The 2nd」,呑谷尚平,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,30,2013-12-15,修斗 THE ROOKIE TOURNAMENT FINAL 2013 【2013年度新人王決定トーナメント決勝戦】,征矢貴,loss,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,31,2013-09-01,修斗 BORDER-season5-「The 2nd」 【2013年度新人王決定トーナメント準決勝】,タンク,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,32,2013-04-07,修斗 BORDER-season5-「The first」,有本侑紀,win,SHOOTO,(none)
fukuda-ryuya,福田 龍彌,33,2012-12-09,修斗 BORDER-SEASON4-3rd 【2013年度新人王決定トーナメント1回戦】,いっきゅうさん,win,SHOOTO,(none)
oshima-saori,大島 沙緒里,10,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ホン・イェリン,win,DEEP,(none)
oshima-saori,大島 沙緒里,23,2020-01-26,プロフェッショナル修斗 2020 【修斗女子初代スーパーアトム級王座決定トーナメント1回戦】,小生由紀,win,SHOOTO,PROFESSONAL SHOOTO 2020 Supported by ONE Championship
sato-shoko,佐藤 将光,23,2015-11-29,修斗 後楽園ホール大会,竹中大地,loss,SHOOTO,(none)
sato-shoko,佐藤 将光,26,2015-05-03,修斗 MOBSTYLES 15th Anniversary TOUR FIGHT & MOSH,土屋大喜,win,SHOOTO,(none)
sato-shoko,佐藤 将光,27,2015-01-25,修斗 2015年第1戦,藤中淳司,win,SHOOTO,(none)
goto-joji,後藤 丈治,5,2024-12-08,DEEP 122 IMPACT,マンド・グティエレス,loss,DEEP,DEEP 123 IMPACT; DEEP TOKYO IMPACT 2024 6th ROUND
goto-joji,後藤 丈治,16,2020-04-17,SHOOTO ROAD TO ONE 2ND ABEMA,祖根寿麻,win,SHOOTO,(none)
