slug	name	date	event	opponent	methodRaw	promotion
noji-ryuuta	野地竜太	2007-11-25	HEAT5 〜MEGA BATTLE HEAT from NAGOYA〜	ペック・アンドリュー	3分3R終了 判定0-3	Wikipedia(その他団体)
noji-ryuuta	野地竜太	2007-08-11	HEAT4 〜MEGA BATTLE HEAT from NAGOYA〜	ロイド・ヴァン・ダム	3分3R終了 判定0-3	Wikipedia(その他団体)
possiblek	ポッシブルK	2026-04-11	HEAT 58	ジョ・サンヘ	TKO 2R	SHOOT BOXING
possiblek	ポッシブルK	2021-10-17	HEAT 49	ワンチャルーム	3R 判定	SHOOT BOXING
possiblek	ポッシブルK	2021-04-25	HEAT 48	安川 侑己	3R 判定	SHOOT BOXING
tomihira-tatsufumi	富平辰文	2010-03-14	HEAT 13	ムーン・ボーラム	3R+延長R終了 判定3-0	Wikipedia(その他団体)
tomihira-tatsufumi	富平辰文	2009-11-01	HEAT 12	田中STRIKE雄基	1R 1:53 KO（3ノックダウン）	Wikipedia(その他団体)
tomihira-tatsufumi	富平辰文	2008-03-30	HEAT 6	イ・ヨセプ	2R 0:19 KO	Wikipedia(その他団体)
tomihira-tatsufumi	富平辰文	2007-11-25	HEAT 5	アレックス・ロバーツ	3R終了 判定0-3	Wikipedia(その他団体)
tomihira-tatsufumi	富平辰文	2007-08-11	HEAT 4	ビッグ・モー	3分3R終了 判定3-0	Wikipedia(その他団体)
melty-kira	Melty輝	2022-08-14	DEAD HEAT	片岡真秀	3R 判定	RISE
saigo	SAIGO	2025-05-24	HEAT 56 in VIETNAM	トラン・グエン・ロク	3R終了 判定3-0	Wikipedia(その他団体)
suzuki-hiroaki	鈴木 博昭	2008-03-30	HEAT 6	酒井 楽	2R TKO	SHOOT BOXING
suzuki-hiroaki	鈴木 博昭	2007-11-25	HEAT 5 ～MEGA BATTLE HEAT from Nagoya～	酒井 楽	1R ノーコンテスト	SHOOT BOXING
ogiri-fuyuka	小桐 冬華	2025-09-20	HEAT 57	岩永 唯伽	3R 判定	SHOOT BOXING
misaki	MISAKI	2025-09-20	HEAT 57	クレメンティ・エグ	5R 判定	SHOOT BOXING
kurisu-fan-benroi	クリス・ファン・ベンローイ	2003-06-20	全日本キックボクシング連盟「DEAD HEAT」	佐藤嘉洋	5R終了 判定3-0	全日本キックボクシング連盟
uehara-makoto	上原誠	2009-07-18	HEAT 10	天田ヒロミ	3R終了 判定0-3	Wikipedia(その他団体)
uehara-makoto	上原誠	2009-03-28	HEAT 9	恩田剛徳	延長R KO（3ダウン：左フック）	Wikipedia(その他団体)
uehara-makoto	上原誠	2008-12-14	HEAT 8	孫武	2R 1:10 TKO（タオル投入）	Wikipedia(その他団体)
fujihara-arashi	藤原あらし	2003-06-20	全日本キックボクシング連盟「DEAD HEAT」	YUTAKA	3R 1:36 KO（膝蹴り）	全日本キックボクシング連盟
takuya	T-98	2020-09-13	HEAT.47	松島勲也	3R TKO	RISE
jyosei	Jyosei	2021-04-25	HEAT 48	内藤凌太	3R 判定	RISE
chan	チャン	2020-11-22	DEAD HEAT	大畠正志	3R判定	RISE
tateshima-atsushi	立嶋篤史	1990-11-23	全日本キックボクシング連盟「INSPIRING WARS "THIRD"」	チューテン・シッサハパン	5R終了 判定	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1990-10-26	全日本キックボクシング連盟「INSPIRING WARS JAPAN vs THAI」	タンタワン・ナ・パタヤ	1R 3:05 KO	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1990-09-28	全日本キックボクシング連盟「INSPIRING WARS HEAT-928」	ナンポン・チョンプートーン	5R終了 判定	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1990-01-20	全日本キックボクシング連盟「INSPIRING WARS-1」	須藤信充	5R終了 判定	全日本キックボクシング連盟
kitagawa-yuki	北川 裕紀	2021-10-17	HEAT 49	安川 侑己	5R 判定	SHOOT BOXING
kitagawa-yuki	北川 裕紀	2021-04-25	HEAT 48	ワンチャルーム	3R TKO	SHOOT BOXING
