slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
sakai-ryo,酒井リョウ,酒井リョウ,true,1,31,0,30,30,1,0,marker-blank-future:1,
sekihara-sho,関原翔,関原翔,true,1,19,0,19,19,0,0,,
rikiya,力也,力也 (格闘家),true,1,27,0,27,27,0,0,,
gomyo-hiroto,五明宏人,五明宏人,true,1,16,0,16,16,0,0,,
ushiku-juntaro,牛久絢太郎,牛久絢太郎,true,1,34,0,34,34,0,0,,
muramoto-yutaro,村元友太郎,村元友太郎,true,0,0,0,26,26,-26,0,,「総合格闘技」節が見つからず(en版由来の可能性)
hiramatsu-sho,平松翔,平松翔,true,1,15,0,15,15,0,0,,
sugiyama-sora,杉山空,杉山空,true,1,4,0,4,4,0,0,,
abe-daiji,阿部大治,阿部大治,true,2,25,0,25,25,0,0,,
takizawa-kenta,瀧澤謙太,瀧澤謙太,true,1,29,0,28,28,1,0,marker-blank-future:1,
nakamura-daisuke,中村大介,中村大介 (プロレスラー),true,1,65,0,64,64,1,0,marker-blank-future:1,
izumi-takeshi,泉武志,泉武志,true,1,12,0,12,12,0,0,,
kindaichi-kosuke,金田一孝介,金田一孝介,true,1,17,0,17,17,0,0,,
kubota-taito,窪田泰斗,窪田泰斗,true,1,24,0,23,23,1,0,marker-blank-future:1,
kozaki-ren,小崎連,小崎連,true,1,12,0,12,12,0,0,,
strasser-kiichi,ストラッサー起一,ストラッサー起一,true,1,35,0,35,35,0,0,,
kinoshita-karate,木下カラテ,木下カラテ,true,1,22,0,21,21,1,0,marker-blank-future:1,
uoi-fullswing,魚井フルスイング,魚井フルスイング,true,1,47,0,47,47,0,0,,
arato-hidetaka,荒東英貴,"荒東""怪獣キラー""英貴",true,1,15,0,15,15,0,0,,
miyabi-shunsuke,雅駿介,雅駿介,true,2,16,0,15,15,1,0,marker-blank-future:1,
kadono-kohei,角野晃平,角野晃平,true,1,9,0,9,9,0,0,,
akazawa-yukinori,赤沢幸典,赤沢幸典,true,1,15,0,15,15,0,0,,
fukuda-machi,万智,万智,true,0,0,0,13,13,-13,0,,「総合格闘技」節が見つからず(en版由来の可能性)
saito-momoko,百湖,百湖,true,1,7,0,7,7,0,0,,
nakai-rin,中井りん,中井りん,true,1,32,0,32,32,0,0,,
kurobe-kazusa,黒部和沙,黒部和沙,true,0,0,0,7,7,-7,0,,「総合格闘技」節が見つからず(en版由来の可能性)
yamagami-mikihito,山上幹臣,山上幹臣,true,1,18,0,18,18,0,0,,
ryoga,亮我,亮我,true,1,14,0,14,14,0,0,,
arai-jo,新井丈,新井丈,true,0,0,0,28,28,-28,0,,「総合格闘技」節が見つからず(en版由来の可能性)
nakamura-yusaku,中村優作,中村優作,true,1,31,0,31,31,0,0,,
nose-shohei,野瀬翔平,野瀬翔平,true,1,25,0,25,25,0,0,,
sasuke,SASUKE,SASUKE (格闘家),true,1,20,0,20,20,0,0,,
efeviga-yushi,エフェヴィガ雄志,エフェヴィガ雄志,true,0,0,0,16,16,-16,0,,「総合格闘技」節が見つからず(en版由来の可能性)
yamauchi-goiti,ゴイチ・ヤマウチ,ゴイチ・ヤマウチ,true,1,0,0,38,38,-38,0,,節はあるがFight-cont行が0件
murayama-akihiro,村山暁洋,村山暁洋,true,1,49,0,49,49,0,0,,
saiga-yanbo-tatsuya,雑賀ヤン坊達也,雑賀“ヤン坊”達也,true,0,0,0,22,22,-22,0,,「総合格闘技」節が見つからず(en版由来の可能性)
beinoa,ブラックパンサーベイノア,“ブラックパンサー”ベイノア,true,2,10,0,10,10,0,0,,
yanagawa-yuito,栁川唯人,栁川唯人,true,1,10,0,10,10,0,0,,
