slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
ryoa,Ryo,Ryo,true,0,0,0,0,12,0,-12,,「総合格闘技」節が見つからず(en版由来の可能性)
endoraiki,遠藤来生,遠藤来生,false,0,0,0,0,11,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
nada,名田英平,名田英平,false,0,0,0,0,21,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
sekisena,関翔渚,関翔渚,false,0,0,0,0,4,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
itokawayoshito,糸川義人,糸川義人,false,0,0,0,0,11,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
ishidarikuya,石田陸也,石田陸也,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
aratadaiki,荒田大輝,荒田大輝,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
satoyujibonsai,佐藤ゆうじ,佐藤ゆうじ,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
asadulloev,バラカトゥロ・アサドゥラエフ,バラカトゥロ・アサドゥラエフ,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
yamakimahiro,山木麻弥,山木麻弥,true,0,0,0,6,6,-6,0,,「総合格闘技」節が見つからず(en版由来の可能性)
maedakohei,前田浩平,前田浩平,false,0,0,0,0,18,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
gojima-daiki,合島大樹,合島大樹,false,0,0,0,0,18,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
shiraijoji,白井誠司,白井誠司,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
satoru,猿飛流,猿飛流,false,0,0,0,0,14,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
rafaelribeiro,ラファエル・リベイロ,ラファエル・リベイロ,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
masudataiga,増田大河,増田大河,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
hamamoto,浜本キャット雄大,浜本キャット雄大,false,0,0,0,0,4,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
uematsuyoshiki,植松洋貴,植松洋貴,false,0,0,0,0,10,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
kobayashiryohei,小林了平,小林了平,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
kanayumu,菅歩夢,菅歩夢,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
yamasakisora,山崎蒼空,山崎蒼空,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
motokawaharuaki,本川ハルアキ,本川ハルアキ,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
teraokatakuei,寺岡拓永,寺岡拓永,false,0,0,0,0,9,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
sugiyama,杉山しずか,杉山しずか,true,1,33,0,33,33,0,0,,
wadaayane,和田綾音,和田綾音,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
raika,ライカ,ライカ,true,0,0,0,0,15,0,-15,,「総合格闘技」節が見つからず(en版由来の可能性)
motonomiki,本野美樹,本野美樹,false,0,0,0,0,2,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
