event_id,event_name,brand,event_date,result_url,fetched_at,parse_status,parse_note,bout_count
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT 2025 5th ROUND,DEEP OSAKA IMPACT,2025-12-07,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,ok,,20
deep-jewels-51,DEEP JEWELS 51,DEEP JEWELS,2025-11-23,https://www.deep2001.com/deep-jewels-51/,2026-07-25,ok,,10
deep-tokyo-impact-2025-5th-round,DEEP TOKYO IMPACT 2025 5th ROUND,DEEP TOKYO IMPACT,2025-11-23,https://www.deep2001.com/deep-tokyo-impact-2025-5th-round/,2026-07-25,ok,,13
deep-128-impact,DEEP 128 IMPACT,DEEP IMPACT,2025-11-02,https://www.deep2001.com/deep-128-impact/,2026-07-25,ok,,11
deep-hamamatsu-impact-2025-2nd-round,DEEP HAMAMATSU IMPACT 2025 2nd ROUND,DEEP HAMAMATSU IMPACT,2025-10-05,https://www.deep2001.com/deep-hamamatsu-impact-2025-2nd-round/,2026-07-25,ok,,27
deep-osaka-impact-2025-4th-round,DEEP OSAKA IMPACT 2025 4th ROUND,DEEP OSAKA IMPACT,2025-09-21,https://www.deep2001.com/deep-osaka-impact-2025-4th-round/,2026-07-25,ok,,9
deep-osaka-impact-2025-3rd-round,DEEP OSAKA IMPACT 2025 3rd ROUND,DEEP OSAKA IMPACT,2025-09-21,https://www.deep2001.com/deep-osaka-impact-2025-3rd-round/,2026-07-25,ok,,10
deep-127-impact-2,DEEP 127 IMPACT,DEEP IMPACT,2025-09-15,https://www.deep2001.com/deep-127-impact-2/,2026-07-25,ok,,12
deep-jewels-50,DEEP JEWELS 50,DEEP JEWELS,2025-09-07,https://www.deep2001.com/deep-jewels-50/,2026-07-25,ok,,11
deep-tokyo-impact-2025-4th-round,DEEP TOKYO IMPACT 2025 4th ROUND,DEEP TOKYO IMPACT,2025-09-07,https://www.deep2001.com/deep-tokyo-impact-2025-4th-round/,2026-07-25,ok,,10
deep-126-impact,DEEP 126 IMPACT,DEEP IMPACT,2025-08-17,https://www.deep2001.com/deep-126-impact/,2026-07-25,ok,,9
deep-osaka-impact-2025-2nd-round,DEEP OSAKA IMPACT 2025 2nd ROUND,DEEP OSAKA IMPACT,2025-06-29,https://www.deep2001.com/deep-osaka-impact-2025-2nd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-06-29)のため出場者抽出は行わない,0
deep-tokyo-impact-2025-3rd-round,DEEP TOKYO IMPACT 2025 3rd ROUND,DEEP TOKYO IMPACT,2025-05-25,https://www.deep2001.com/deep-tokyo-impact-2025-3rd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-05-25)のため出場者抽出は行わない,0
deepjewels49-20250512,DEEP JEWELS 49,DEEP JEWELS,2025-05-25,https://www.deep2001.com/deepjewels49-20250512/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-05-25)のため出場者抽出は行わない,0
deep-125-impact,DEEP 125 IMPACT,DEEP IMPACT,2025-05-05,https://www.deep2001.com/deep-125-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-05-05)のため出場者抽出は行わない,0
deep-hamamatsu-impact-2025-1st-round,DEEP HAMAMATSU IMPACT 2025 1st ROUND,DEEP HAMAMATSU IMPACT,2025-04-27,https://www.deep2001.com/deep-hamamatsu-impact-2025-1st-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-04-27)のため出場者抽出は行わない,0
deep-nagoya-impact-2025-1st-round,DEEP NAGOYA IMPACT 2025 1st ROUND,DEEP NAGOYA IMPACT,,https://www.deep2001.com/deep-nagoya-impact-2025-1st-round/,2026-07-25,partial,開催日を本文から検出できなかった(試合結果は抽出済み),18
deep-tokyo-impact-2025-2nd-round,DEEP TOKYO IMPACT 2025 2nd ROUND,DEEP TOKYO IMPACT,2025-04-13,https://www.deep2001.com/deep-tokyo-impact-2025-2nd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-04-13)のため出場者抽出は行わない,0
deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882024,DEEPフューチャーキングトーナメント2024,other,2025-04-13,https://www.deep2001.com/deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882024/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-04-13)のため出場者抽出は行わない,0
deep-osaka-impact-2025-1st-round,DEEP OSAKA IMPACT 2025 1st ROUND,DEEP OSAKA IMPACT,2025-04-06,https://www.deep2001.com/deep-osaka-impact-2025-1st-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-04-06)のため出場者抽出は行わない,0
deep-tokyo-impact-2025-1st-round,DEEP TOKYO IMPACT 2025 1st ROUND,DEEP TOKYO IMPACT,2025-03-23,https://www.deep2001.com/deep-tokyo-impact-2025-1st-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-03-23)のため出場者抽出は行わない,0
deep-jewels-48,DEEP JEWELS 48,DEEP JEWELS,2025-03-23,https://www.deep2001.com/deep-jewels-48/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-03-23)のため出場者抽出は行わない,0
deep-124-impact,DEEP 124 IMPACT,DEEP IMPACT,2025-03-15,https://www.deep2001.com/deep-124-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2025-03-15)のため出場者抽出は行わない,0
deep-osaka-impact-2024-5th-round,DEEP OSAKA IMPACT 2024 5th ROUND,DEEP OSAKA IMPACT,2024-12-22,https://www.deep2001.com/deep-osaka-impact-2024-5th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-12-22)のため出場者抽出は行わない,0
deep-osaka-impact-2024-4th-round,DEEP OSAKA IMPACT 2024 4th ROUND,DEEP OSAKA IMPACT,2024-12-22,https://www.deep2001.com/deep-osaka-impact-2024-4th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-12-22)のため出場者抽出は行わない,0
deep-123-impact,DEEP 123 IMPACT,DEEP IMPACT,2024-12-08,https://www.deep2001.com/deep-123-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-12-08)のため出場者抽出は行わない,0
deep-tokyo-impact-2024-6th-round,DEEP TOKYO IMPACT 2024 6th ROUND,DEEP TOKYO IMPACT,2024-12-08,https://www.deep2001.com/deep-tokyo-impact-2024-6th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-12-08)のため出場者抽出は行わない,0
deep-jewels-47,DEEP JEWELS 47,DEEP JEWELS,2024-11-23,https://www.deep2001.com/deep-jewels-47/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-11-23)のため出場者抽出は行わない,0
deep-tokyo-impact-2024-5th-round,DEEP TOKYO IMPACT 2024 5th ROUND,DEEP TOKYO IMPACT,2024-11-23,https://www.deep2001.com/deep-tokyo-impact-2024-5th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-11-23)のため出場者抽出は行わない,0
deep-122-impact,DEEP 122 IMPACT,DEEP IMPACT,2024-11-04,https://www.deep2001.com/deep-122-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-11-04)のため出場者抽出は行わない,0
deep-hamamatsu-impact-2024,DEEP HAMAMATSU IMPACT 2024,DEEP HAMAMATSU IMPACT,2024-10-06,https://www.deep2001.com/deep-hamamatsu-impact-2024/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-10-06)のため出場者抽出は行わない,0
deep-osaka-impact-2024-3rd-round,DEEP OSAKA IMPACT 2024 3rd ROUND,DEEP OSAKA IMPACT,2024-09-22,https://www.deep2001.com/deep-osaka-impact-2024-3rd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-09-22)のため出場者抽出は行わない,0
deep-121-impact,DEEP 121 IMPACT,DEEP IMPACT,2024-09-16,https://www.deep2001.com/deep-121-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-09-16)のため出場者抽出は行わない,0
deep-jewels-46,DEEP JEWELS 46,DEEP JEWELS,2024-09-08,https://www.deep2001.com/deep-jewels-46/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-09-08)のため出場者抽出は行わない,0
deep-tokyo-impact-2024-4th-round,DEEP TOKYO IMPACT 2024 4th ROUND,DEEP TOKYO IMPACT,2024-09-08,https://www.deep2001.com/deep-tokyo-impact-2024-4th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-09-08)のため出場者抽出は行わない,0
deep%e3%82%b5%e3%83%9e%e3%83%bc%e3%83%95%e3%82%a7%e3%82%b9%e3%83%86%e3%82%a3%e3%83%90%e3%83%ab2024-in%e3%81%8a%e5%8f%b0%e5%a0%b4,DEEPサマーフェスティバル2024 inお台場,other,2024-08-31,https://www.deep2001.com/deep%e3%82%b5%e3%83%9e%e3%83%bc%e3%83%95%e3%82%a7%e3%82%b9%e3%83%86%e3%82%a3%e3%83%90%e3%83%ab2024-in%e3%81%8a%e5%8f%b0%e5%a0%b4/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-08-31)のため出場者抽出は行わない,0
deep-120-impact,DEEP 120 IMPACT,DEEP IMPACT,2024-07-14,https://www.deep2001.com/deep-120-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-07-14)のため出場者抽出は行わない,0
deep-nagoya-impact-2024-4th-round,DEEP NAGOYA IMPACT 2024 4th ROUND,DEEP NAGOYA IMPACT,2024-08-25,https://www.deep2001.com/deep-nagoya-impact-2024-4th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-08-25)のため出場者抽出は行わない,0
deep-nagoya-impact-2024-3rd-round,DEEP NAGOYA IMPACT 2024 3rd ROUND,DEEP NAGOYA IMPACT,2024-08-25,https://www.deep2001.com/deep-nagoya-impact-2024-3rd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-08-25)のため出場者抽出は行わない,0
deep-osaka-impact-2024-2nd-round,DEEP OSAKA IMPACT 2024 2nd ROUND,DEEP OSAKA IMPACT,2024-06-02,https://www.deep2001.com/deep-osaka-impact-2024-2nd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-06-02)のため出場者抽出は行わない,0
deep-jewels-45,DEEP JEWELS 45,DEEP JEWELS,2024-05-26,https://www.deep2001.com/deep-jewels-45/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-05-26)のため出場者抽出は行わない,0
deep-tokyo-impact-2024-3rd-round,DEEP TOKYO IMPACT 2024 3rd ROUND,DEEP TOKYO IMPACT,2024-05-26,https://www.deep2001.com/deep-tokyo-impact-2024-3rd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-05-26)のため出場者抽出は行わない,0
deep-cage-impact-2024-in-hamamatsu,DEEP CAGE IMPACT 2024 in HAMAMATSU,other,2024-05-12,https://www.deep2001.com/deep-cage-impact-2024-in-hamamatsu/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-05-12)のため出場者抽出は行わない,0
deep-119-impact,DEEP 119 IMPACT,DEEP IMPACT,2024-05-03,https://www.deep2001.com/deep-119-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-05-03)のため出場者抽出は行わない,0
deep-tokyo-impact-2024-2nd-round,DEEP TOKYO IMPACT 2024 2nd ROUND,DEEP TOKYO IMPACT,2024-04-13,https://www.deep2001.com/deep-tokyo-impact-2024-2nd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-04-13)のため出場者抽出は行わない,0
deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882023,DEEPフューチャーキングトーナメント2023,other,2024-04-13,https://www.deep2001.com/deep%e3%83%95%e3%83%a5%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%82%ad%e3%83%b3%e3%82%b0%e3%83%88%e3%83%bc%e3%83%8a%e3%83%a1%e3%83%b3%e3%83%882023/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-04-13)のため出場者抽出は行わない,0
deep-nagoya-impact-2024-1st-2nd-round,DEEP NAGOYA IMPACT 2024 1st/2nd ROUND,DEEP NAGOYA IMPACT,2024-04-07,https://www.deep2001.com/deep-nagoya-impact-2024-1st-2nd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-04-07)のため出場者抽出は行わない,0
skyticket-presents-deep-jewels-44,DEEP JEWELS 44,DEEP JEWELS,2024-03-24,https://www.deep2001.com/skyticket-presents-deep-jewels-44/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-03-24)のため出場者抽出は行わない,0
%e5%ae%97%e6%98%8e%e5%bb%ba%e8%a8%adpresents-deep-tokyo-impact-2024-1st-round,DEEP TOKYO IMPACT 2024 1st ROUND,DEEP TOKYO IMPACT,2024-03-24,https://www.deep2001.com/%e5%ae%97%e6%98%8e%e5%bb%ba%e8%a8%adpresents-deep-tokyo-impact-2024-1st-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-03-24)のため出場者抽出は行わない,0
deep-osaka-impact-2024-1st-round,DEEP OSAKA IMPACT 2024 1st ROUND,DEEP OSAKA IMPACT,2024-03-17,https://www.deep2001.com/deep-osaka-impact-2024-1st-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-03-17)のため出場者抽出は行わない,0
skyticket-presents-deep-118-impact,DEEP 118 IMPACT,DEEP IMPACT,2024-03-09,https://www.deep2001.com/skyticket-presents-deep-118-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2024-03-09)のため出場者抽出は行わない,0
deep-tokyo-impact-2023-7th-round,DEEP TOKYO IMPACT 2023 7th ROUND,DEEP TOKYO IMPACT,2023-12-10,https://www.deep2001.com/deep-tokyo-impact-2023-7th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-12-10)のため出場者抽出は行わない,0
deep-117-impact,DEEP 117 IMPACT,DEEP IMPACT,2023-12-10,https://www.deep2001.com/deep-117-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-12-10)のため出場者抽出は行わない,0
deep-osaka-impact-2023-3rd-round,DEEP OSAKA IMPACT 2023 3rd ROUND,DEEP OSAKA IMPACT,2023-11-26,https://www.deep2001.com/deep-osaka-impact-2023-3rd-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-11-26)のため出場者抽出は行わない,0
deep-jewels-43,DEEP JEWELS 43,DEEP JEWELS,2003-11-23,https://www.deep2001.com/deep-jewels-43/,2026-07-25,ok,12ヶ月の対象期間外(開催日2003-11-23)のため出場者抽出は行わない,0
deep-tokyo-impact-2023-6th-round,DEEP TOKYO IMPACT 2023 6th ROUND,DEEP TOKYO IMPACT,2023-11-23,https://www.deep2001.com/deep-tokyo-impact-2023-6th-round/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-11-23)のため出場者抽出は行わない,0
%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%b3%e3%83%88%e3%83%83%e3%83%97%e3%83%81%e3%83%bc%e3%83%a0%ef%bc%88att%ef%bc%89%e3%81%ae%e6%89%80%e5%b1%9e%e3%81%a8%e3%81%aa%e3%81%a3%e3%81%9f%e5%85%83,DEEP 116 IMPACT,DEEP IMPACT,2023-11-11,https://www.deep2001.com/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%b3%e3%83%88%e3%83%83%e3%83%97%e3%83%81%e3%83%bc%e3%83%a0%ef%bc%88att%ef%bc%89%e3%81%ae%e6%89%80%e5%b1%9e%e3%81%a8%e3%81%aa%e3%81%a3%e3%81%9f%e5%85%83/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-11-11)のため出場者抽出は行わない,0
deep-hamamatsu-2023,DEEP HAMAMATSU IMPACT 2023,DEEP HAMAMATSU IMPACT,2023-09-24,https://www.deep2001.com/deep-hamamatsu-2023/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-09-24)のため出場者抽出は行わない,0
deep-115-impact,DEEP 115 IMPACT～DEEP VS BLACK COMBAT～,DEEP IMPACT,2023-09-18,https://www.deep2001.com/deep-115-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-09-18)のため出場者抽出は行わない,0
deep-jewels-42-10th-anniversary%ef%bd%9e,DEEP JEWELS 42 ~10th Anniversary～,DEEP JEWELS,2023-09-10,https://www.deep2001.com/deep-jewels-42-10th-anniversary%ef%bd%9e/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-09-10)のため出場者抽出は行わない,0
deep-tokyo-impact-2023-5th-round-2,DEEP TOKYO IMPACT 2023 5th ROUND,DEEP TOKYO IMPACT,2023-09-10,https://www.deep2001.com/deep-tokyo-impact-2023-5th-round-2/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-09-10)のため出場者抽出は行わない,0
deep-nagoya-impact-2023-%e5%85%ac%e6%ad%a6%e5%a0%82%e3%83%95%e3%82%a1%e3%82%a4%e3%83%88,DEEP NAGOYA IMPACT 2023 公武堂ファイト 3rd ROUND/4th ROUND,DEEP NAGOYA IMPACT,,https://www.deep2001.com/deep-nagoya-impact-2023-%e5%85%ac%e6%ad%a6%e5%a0%82%e3%83%95%e3%82%a1%e3%82%a4%e3%83%88/,2026-07-25,failed,開催日・結果とも検出できず(構造不明),0
deep-osaka-impact-2023-2nd-round,DEEP OSAKA IMPACT 2023 2nd ROUND,DEEP OSAKA IMPACT,,https://www.deep2001.com/deep-osaka-impact-2023-2nd-round/,2026-07-25,failed,開催日・結果とも検出できず(構造不明),0
deep-x-nariagari,DEEP X NARIAGARI,other,,https://www.deep2001.com/deep-x-nariagari/,2026-07-25,failed,開催日・結果とも検出できず(構造不明),0
deep-114-impact,DEEP 114 IMPACT,DEEP IMPACT,2023-07-02,https://www.deep2001.com/deep-114-impact/,2026-07-25,ok,12ヶ月の対象期間外(開催日2023-07-02)のため出場者抽出は行わない,0
