slug	name	date	event	opponent	methodRaw	promotion
yoshihisa-kyoken-morimoto	森本“狂犬”義久	2019-07-12	ONE:MASTERS OF DESTINY	ジョシュ・トナー	3R判定	RISE
yutaro-asahi	麻火佑太郎	2024-04-05	ONE Friday Fights 58: Superbon vs. Grigorian II	セクサン・オー・クワンムアン	3R 判定	RISE
teppei-wada	和田哲平	2025-05-17	TAIWAN TOP ONE 2025 WARRIORS JOURNEY	謝傑丞	3R 判定	RISE
banna	繁那	2025-01-17	ONE Friday Fights 94	アヤド・アルバドル	ユナニマス判定	ONE Championship
banna	繁那	2024-08-09	ONE Friday Fights 74	センチャイ・ナーヨックウィットトゥンソン	ノックアウト	ONE Championship
yonekawa-tasuku	米川 たすく	2024-08-02	ONE Friday Fights 73	イラシェフ・ドストンベック	ノックアウト	ONE Championship
akimoto-hiroki	秋元皓貴	2026-04-29	ONE SAMURAI 1	久井大夢	スプリット判定	ONE Championship
akimoto-hiroki	秋元皓貴	2025-11-16	ONE 173	ウェイ・ルイ	ユナニマス判定	ONE Championship
akimoto-hiroki	秋元皓貴	2025-03-23	ONE 172: 武尊 VS ロッタン	ジョン・リネカー	スプリット判定	ONE Championship
akimoto-hiroki	秋元皓貴	2024-09-27	ONE Friday Fights 81: Superbon vs. Nattawut	イリアス・エナッシ	ユナニマス判定	ONE Championship
akimoto-hiroki	秋元皓貴	2024-05-03	ONE Fight Night 22: Sundell vs. Diachkova	ウェイ・ルイ	ユナニマス判定	ONE Championship
akimoto-hiroki	秋元皓貴	2022-11-19	ONE 163: Akimoto vs. Petchtanong	ペッタノン・ペットファーガス	スプリット判定	ONE Championship
akimoto-hiroki	秋元皓貴	2022-11-19	ONE 163 Akimoto vs. Petchtanong	ペッタノン・ペットフォーガス	5R終了 判定1-2	ONE Championship
akimoto-hiroki	秋元皓貴	2022-03-26	ONE Championship: ONE X	カピタン・ペッティンディーアカデミー	5R終了 判定3-0	ONE Championship
akimoto-hiroki	秋元皓貴	2021-12-03	ONE Championship: Winter Warriors	邱建良	3R終了 判定3-0	ONE Championship
akimoto-hiroki	秋元皓貴	2021-02-26	ONE Championship: Fists Of Fury	ジャン・チェンロン	3R終了 判定3-0	ONE Championship
akimoto-hiroki	秋元皓貴	2020-10-09	ONE Championship: Reign of Dynasties 2	ジャン・チェンロン	3R終了 判定2-1	ONE Championship
akimoto-hiroki	秋元皓貴	2019-07-12	ONE Championship: Masters Of Destiny	ケニー・ズィー	3R終了 判定3-0	ONE Championship
akimoto-hiroki	秋元皓貴	2019-03-31	ONE Championship: A New Era	ジョゼフ・ラシリ	3R終了 判定0-2	ONE Championship
akimoto-hiroki	秋元皓貴	2019-01-25	ONE Championship: Hero's Ascent	ジョシュ・トナー	3R終了 判定3-0	ONE Championship
akimoto-hiroki	秋元皓貴	2013-04-14	MA日本キック「DRAGON ROAD ONE AND ONLY TAKE１」	スラチャイ・シースリヤンヨーティン	5R終了 判定3-0	Wikipedia(その他団体)
akimoto-hiroki	秋元皓貴	2007-10-28	BRIDGE　one match challenge 6th	森平雄治	2R終了 判定3-0	Wikipedia(その他団体)
uoren-sutiburumanzu	ウォーレン・スティーブルマンズ	2006-10-27	One Night in Bangkok	ケネス・ヴァン・イエスヴェルド	3R終了 判定	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2020-08-21	ONE: NO SURRENDER III	マリー・ルーメット	3R 判定0-3	ONE Championship
ritorutaiga	Little Tiger	2019-10-05	ONE WARRIOR SERIES	サンドラ・ゴドヴィク	3R 判定0-3	ONE Championship
ritorutaiga	Little Tiger	2018-10-21	M-ONE 2018 FINAL	COMACHI	3R 判定0-3	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2017-11-26	M-ONE 2017 FINAL	パヤーフォン・ローンリエンギィラーコラート	3R 判定0-1	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2017-09-18	M-ONE 2017 2nd	ヨーディン・シットヨーディン	2R 1分09秒 TKO	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2017-03-20	M-ONE 2017 1st	サーオマンコン・ポーラマイパカッ	3R 判定3-0	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2016-11-23	M-ONE 2016 FINAL	アンアン・シットチャンシーン	1R 1分35秒 TKO	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2016-09-25	M-ONE 2016 3rd	COMACHI	3R 判定3-0	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2016-06-19	M-ONE 2016 vol.2	MARI	3R 判定3-0	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2016-03-21	M-ONE	伊藤紗弥	5R 判定0-2	Wikipedia(その他団体)
ryuta-suekuni	末國龍汰	2022-12-11	Road to ONE Japan ＆ BOM 37	名高・エイワスポーツジム	5R 判定	RISE
ota-ikko	大田 一航	2026-04-03	ONE Friday Fights 149	パヤクルト	ノックアウト	ONE Championship
ota-ikko	大田 一航	2025-03-07	ONE Friday Fights 99	ペットパタヤ・シルクムエタイ	ユナニマス判定	ONE Championship
ota-ikko	大田 一航	2024-07-05	ONE Friday Fights 69	BM・フェアテックス	ノックアウト	ONE Championship
ota-ikko	大田 一航	2024-04-19	ONE Friday Fights 59	ペットナムコン	ユナニマス判定	ONE Championship
tsubasa	翼	2026-08-07	ONE Friday Fights 165 & The Inner Circle	ポン・ズーハオ	ノックアウト	ONE Championship
masahito-okuyama	奥山雅仁	2025-08-08	ONE FRIDAY FIGHTS119	ジェンギズ・ラーレ	3R TKO	RISE
masahito-okuyama	奥山雅仁	2024-02-09	ONE FRIDAY FIGHTS 51	テミルラン・ベクムルザエフ	3R 判定	RISE
suzuki-hiroaki	鈴木 博昭	2019-11-08	ONE：MASTERS OF FATE	トゥカートン・ペットパタヤイ	3R 判定	SHOOT BOXING
suzuki-hiroaki	鈴木 博昭	2019-05-10	ONE：WARRIORS OF LIGHT	ノンオー・ガイヤーンハーダオ	5R 判定	SHOOT BOXING
suzuki-hiroaki	鈴木 博昭	2019-01-25	ONE：HERO’S ASCENT	モハマド・ビン・マフムード	3R TKO	SHOOT BOXING
suzuki-hiroaki	鈴木 博昭	2018-11-23	ONE: CONQUEST OF CHAMPIONS	デイヴィダス・ダニラ	3R 判定	SHOOT BOXING
ogiri-fuyuka	小桐 冬華	2025-04-04	ONE Friday Fights 103	ロー・チーチェン	3R 判定	SHOOT BOXING
kuriaki-shogo	栗秋 祥梧	2024-02-02	ONE Friday Fights 50	ペットパランチャイ・ポー・ジャロンペット	ユナニマス判定	ONE Championship
ryunosuke-omori	大森隆之介	2026-07-17	ONE Friday Fights 162 & The Inner Circle	アリ・アル＝キナニ	ユナニマス判定	ONE Championship
naito-taiki	内藤 大樹	2026-04-29	ONE SAMURAI 1	陽勇	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2025-11-08	ONE Fight Night 37	ナックロップ・フェアテックス	KO 1R	SHOOT BOXING
