slug,name,history_index,date,event,opponent,result,org,events_on_that_date,_detail
nakamura-daisuke,中村大介,40,2008-07-17,DEEP M-1 チャレンジ 5 in JAPAN 【チーム・オランダ vs. チーム・ジャパン -70kg級戦】,ボグダン・クリステア,win,DEEP,(none),before_brand_earliest(2012-12-22)
nakamura-daisuke,中村大介,47,2006-02-05,DEEP 23 IMPACT 5周年大会,藤沼弘秀,win,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,48,2005-12-02,DEEP 22 IMPACT,長谷川秀彦,loss,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,50,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント決勝】,中尾受太郎,loss,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,51,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント準決勝】,星野勇二,win,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,52,2004-07-03,DEEP 15th IMPACT 【ウェルター級トーナメント1回戦】,小野瀬哲也,win,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,60,2002-12-08,DEEP2001 7th IMPACT in DIFFER ARIAKE 【フューチャーキングトーナメント 82kg以下級 2回戦】,森山大,loss,DEEP,(none),before_brand_earliest(2010-10-24)
nakamura-daisuke,中村大介,61,2002-12-08,DEEP2001 7th IMPACT in DIFFER ARIAKE 【フューチャーキングトーナメント 82kg以下級 1回戦】,木村仁要,win,DEEP,(none),before_brand_earliest(2010-10-24)
kubota-taito,窪田泰斗,18,2016-10-02,DEEP NAGOYA IMPACT,石田勝也,win,DEEP,(none),before_brand_earliest(2022-07-24)
uoi-fullswing,魚井フルスイング,44,2009-06-07,club DEEP,上嶋佑紀,loss,DEEP,(none),before_brand_earliest(2012-12-22)
nakamura-yusaku,中村優作,20,2013-08-10,DEEP NAGOYA IMPACT 公武堂ファイト,加藤直之,win,DEEP,(none),before_brand_earliest(2022-07-24)
nakamura-yusaku,中村優作,26,2011-09-04,DEEP OSAKA IMPACT,赤尾セイジ,loss,DEEP,(none),before_brand_earliest(2013-04-28)
nakamura-yusaku,中村優作,29,2010-06-06,DEEP CAGE IMPACT 2010 in OSAKA,裕希斗,win,DEEP,(none),before_brand_earliest(2013-06-15)
nakamura-yusaku,中村優作,30,2010-01-24,DEEP 45 IMPACT,広斗,win,DEEP,(none),before_brand_earliest(2010-10-24)
kitaoka-satoru,北岡悟,49,2007-04-13,DEEP 29 IMPACT,"ファブリシオ・""ピットブル""・モンテイロ",win,DEEP,(none),before_brand_earliest(2010-10-24)
miyake-kisa,三宅輝砂,16,2019-11-24,DEEP NAGOYA IMPACT KOBUDO FIGHT 24,高瀬一平,win,DEEP,(none),before_brand_earliest(2022-07-24)
shinya-aoki,青木真也,16,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,桜庭和志,win,RIZIN,(none),before_brand_earliest(2016-04-17)
shinya-aoki,青木真也,58,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント 準決勝】,中尾受太郎,loss,DEEP,(none),before_brand_earliest(2010-10-24)
shinya-aoki,青木真也,59,2004-07-03,DEEP 15th IMPACT 【ウェルター級トーナメント 1回戦】,池本誠知,win,DEEP,(none),before_brand_earliest(2010-10-24)
shinya-aoki,青木真也,60,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 決勝】,佐藤隆平,win,DEEP,(none),before_brand_earliest(2012-12-22)
shinya-aoki,青木真也,61,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 準決勝】,龍保利,win,DEEP,(none),before_brand_earliest(2012-12-22)
shinya-aoki,青木真也,62,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 1回戦】,沖村大,win,DEEP,(none),before_brand_earliest(2012-12-22)
tatsumitsu-wada,和田竜光,29,2012-04-07,DEEP CAGE IMPACT 2012 in TOKYO 〜OVER AGAIN〜,大塚隆史,win,DEEP,(none),before_brand_earliest(2013-06-15)
tatsumitsu-wada,和田竜光,35,2010-08-27,DEEP 49 IMPACT,小林聖人,win,DEEP,(none),before_brand_earliest(2010-10-24)
tatsumitsu-wada,和田竜光,37,2010-05-23,club DEEP,薩摩竜仁,win,DEEP,(none),before_brand_earliest(2012-12-22)
tatsumitsu-wada,和田竜光,39,2009-06-30,DEEP 42 IMPACT,土田達也,win,DEEP,(none),before_brand_earliest(2010-10-24)
tatsumitsu-wada,和田竜光,43,2008-03-29,CLUB DEEP TOKYO in 新宿FACE,宮下トモヤ,loss,DEEP,(none),before_brand_earliest(2012-12-22)
kim-soochul,キム・スーチョル,17,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 IZAの舞,マイケ・リニャーレス,win,RIZIN,(none),before_brand_earliest(2016-04-17)
ishizuka-koichi,石司晃一,25,2012-07-21,DEEP TOKYO IMPACT 2012,須崎ジオング康文,win,DEEP,(none),before_brand_earliest(2019-03-16)
ishizuka-koichi,石司晃一,26,2012-04-07,DEEP CAGE IMPACT 2012,ミニタウロ・ハット,win,DEEP,(none),before_brand_earliest(2013-06-15)
sugiyama-kohei,杉山廣平,24,2016-03-27,DEEP NAGOYA IMPACT 公武堂ファイト,白木一広,win,DEEP,(none),before_brand_earliest(2022-07-24)
unconfirmed-shooto-1875,砂辺 光久,45,2002-03-30,DEEP2001 4th IMPACT in NAGOYA,"""ランバー""ソムデート吉沢",win,DEEP,(none),before_brand_earliest(2022-07-24)
sugiyama,杉山しずか,20,2013-07-20,DEEP TOKYO IMPACT,米沢知佐,win,DEEP,(none),before_brand_earliest(2019-03-16)
