name,status,decision,reason_code,primary_brand,total_appearances,amateur_appearances,pro_appearances,most_recent_date
abbie,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,1,2,2026-05-24
AKINA,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
Akiyoshi,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2025-10-05
AKIYOSHI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2026-05-31
Bobo飛鳥,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
GINJI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
Guts,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
HIME,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
JUICY,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
KENTA,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
KINNO,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-05-24
MANA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
MANAKA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
MG眞介,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
Michael北見,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2026-02-23
RYOTA,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2025-09-15
RYUA,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
SAAYA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,4,0,4,2026-05-24
SHOYA,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
Street♡★Bob洸助,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
TAKUMA,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,2,2,0,2026-05-24
TATSUMI,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
Te-a,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
WATARU,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
あー子,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
あきぴ,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,4,4,0,2026-05-24
アサン・ゲェイデ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-09-07
アニンタ・アリ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,0,2,2026-01-23
アモリン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
イ・イェジ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
イトカズ・コウセイ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
ウラケン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
うらら,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
カーレッジユウキ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
カーン・ソガズ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
ガブリエル,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
カンジ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-05-24
きたりこ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
キム・ソユル,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
キム・ダンビ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
キム・ミンソク,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
キンジ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
ケイト・ロータス,listed,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
ケンシロウ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
ケンモーリス,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
ごとう瑠海,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2026-04-19
コビー・レオン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-04-19
サダエ☆マヌーフ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
サラ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2025-11-23
サラ・マフムード,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
サンシャイン,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2026-04-19
ジャカ季美香,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
ショウエイ,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2026-05-04
ショーン・ホマレー,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
ステファン“スマッシュ”,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
ストラッサー起一,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
せりな,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,3,3,0,2026-02-23
ダイア,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-09-07
ダイナマイト♡ユラ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
ダイヤ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-05-04
たから,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-02-23
タンク内藤,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
チェ・ウンジ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
チェ・ソンヒョク,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
ちゃんりな,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,2,2,0,2026-02-23
デスティニー,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-05-24
トーマ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
トミー渡部,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
トミー渡辺,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,1,0,1,2026-01-23
ドリーム★キミ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
ののか,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
パク・シウ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-11-23
パク・ソヨン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
ハチミツ大魔王,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2025-12-14
バッファロー,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-11-02
ハム・ギワン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
フェリペ・ハセヤマ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,2,2,0,2026-05-31
フェルナンド,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
ブラックタイガー,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-05-24
ベンジャミン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-03-08
ぽちゃんZ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
ホワイトベア,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,1,0,1,2026-01-23
マイティ・saw,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,3,1,2,2026-07-24
マサト・ナカムラ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-07-05
マサムネ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,3,0,3,2026-05-31
みやび,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
もも太郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
ユリカ・グラップリングシュートボクサーズジム,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
ランペイジ竜太,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-01-23
ランボルギーニ,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,2,2,0,2026-05-31
ルーク中村,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
ルリー・サンシャイン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
阿部大治,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
愛温,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-05-24
飴山聖也,listed,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
安井飛馬,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-04-19
安永吏成,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
安谷屋智弘,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-12-14
伊藤一輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,3,0,3,2026-05-31
伊藤叶,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-02-23
伊藤佑都,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
伊藤陸都,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
井康勢,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
井上セナ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-07-24
井上竜旗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
一輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
稲村健心,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
稲田将,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
羽江哲郎,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
永井宏人,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,0,3,2026-06-14
越智晴雄,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-12-14
延命そら,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
猿丸凛太朗,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2026-05-24
猿寿健太,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-07-05
遠藤一心,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
奥山貴大,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
奥富夕夏,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
奥野充貴,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,1,1,2026-05-31
横江明日香,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,3,3,0,2026-05-24
横山桔平,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-01-23
横瀬美久,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
横瀬友愛,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-02-23
横内三旺,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,4,0,4,2026-07-05
岡美紀,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-02-23
加藤綾真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,4,0,4,2026-06-14
加藤宥希,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
加藤憂也,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,1,1,0,2026-06-21
加藤翔奏,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,3,3,0,2026-05-31
加藤颯,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-02-23
河合奏太朗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
河坂修斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-06-21
河村嘉展,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
河村泰博,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-07-05
河島ノブヒデ,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2026-03-20
河野太喜,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
火の鳥,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
雅駿介,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
海咲イルカ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
海飛,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
角野晃平,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
関原翔,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-05-04
関鉄矢,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
丸山晃毅,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
岸翔大,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-09-07
岩本達彦,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
宜野座ケビン,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-06-14
菊間瑛太,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,3,3,0,2026-05-24
菊川イサム,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
菊池佳歩,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-12-14
菊池創太,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,2,2,0,2026-05-31
吉口聖也,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
吉村凌仁郎,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,1,1,0,2025-12-07
吉田悠太郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
吉田翼,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,2,1,2026-06-14
吉田陸,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,0,3,2026-02-23
久留拓磨,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
牛久絢太郎,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
魚井フルスイング,hidden,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-03-20
橋上壮馬,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
橋本ユウタ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
橋本葵,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,1,1,2026-06-21
橋本優大,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
胸毛ニキ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
郷野聡寛,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
桐生祐子,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-05-24
近藤世里菜,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
近藤有己,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
金光優真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
金子蒼空,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,2,2,0,2026-01-23
金子徹哉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
金城壮志,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
金田一孝介,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
窪田泰斗,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
窪田大羅,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
熊谷輝彦,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
熊澤バイオレンス,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,1,1,2026-06-14
熊澤愛希也,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
栗山葵,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-06-21
月井隼南,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-05-24
権藤大剛,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
権藤悠太郎,missing,採用,C_HAS_PRO_APPEARANCE,other,2,1,1,2026-04-19
原虎徹,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
原田闘鬼,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
古根川充,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
古市陸,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,4,0,4,2026-06-14
古林礼名,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
袴田玲,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
虎鉄,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
五十嵐莉子,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2025-11-23
五明宏人,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
御代川敏志,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
荒井銀二,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
荒井夕翔,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,3,3,0,2026-07-05
荒東”怪獣キラー”英貴,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-03-20
高橋健斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-04-19
高橋正親,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
高橋典斗,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,2,2,0,2026-05-31
高橋遼伍,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-05-24
高山敦,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
高田真音,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
高尾凌生,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,3,3,0,2026-03-20
高野優樹,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-11-02
高林和真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
国分獅斗,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-12-14
黒井海成,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
黒岡裕真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-05-24
黒川晃司,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
黒太翔人,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
今井風快,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,0,2,2026-07-24
今村豊,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-03-08
今野蓮弥,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,1,1,2026-07-24
今野連弥,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2026-05-04
佐々木大,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
佐々木琢磨,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-07-24
佐々木耀,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,0,2,2026-01-23
佐藤カナウ,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-01-23
佐藤修斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,1,1,2026-05-31
佐藤照栄,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,2,2,0,2026-01-23
佐藤聖優,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,3,3,0,2026-04-19
佐藤勇真,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,2,2,0,2026-03-08
佐藤洋一郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
佐藤凛,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-12-14
左京,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-12-14
砂田華社,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
彩綺,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
斎藤璃貴,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-07-05
細川晄希,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,2,2,0,2026-06-14
坂本岳,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-05-24
坂本瑠華,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
坂野周平,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,1,0,1,2026-07-24
桜井聡紀,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
笹崎健司,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-05-24
三ツ塚勇介,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
三井俊希,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-05-24
三村亘,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
三島康貴,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,2,2,0,2026-06-14
山岸佳音,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-02-23
山口コウタ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
山崎弥十朗,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
山吹マリン,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,3,3,0,2026-05-24
山田葵生,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-04-19
山田聖真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
山田悠太,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,0,3,2026-06-14
山内梨緒,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-05-24
