name,status,decision,reason_code,primary_brand,total_appearances,amateur_appearances,pro_appearances,most_recent_date
菅涼星,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-09-07
澄斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
成本優良,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
生田大雅,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-09-07
西原大貴,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
西山亮翔,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
西川将輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,1,1,2026-03-08
西川玲司,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
西村凛惺,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
誠悟,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
青井人,listed,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
青井佑,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
青井佑磨,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
青代享,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
青田剛,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
石井涼馬,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
石原射,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,4,0,4,2026-07-05
石坂空志,hidden,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-07-05
石司晃一,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
石津隼人,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
石塚雄馬,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
石田ガリット勝也,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-02-23
石田拓己,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
赤沢幸典,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
切嶋龍希,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
切嶋龍輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-06-21
切嶋黎,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,2,2,0,2026-02-23
川口海翔,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,2,0,2,2026-07-24
川崎ごうる,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-02-23
川畑凜斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
泉武志,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
浅野功暉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,4,0,4,2026-06-14
浅野劉生,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
前園渓,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
前田遊,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-02-23
倉冨立聖,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
倉本大悟,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
喪黒★福蔵,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
早川豊司,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
早田大牙,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
相本宗輝,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-07-05
草野ガブリエル,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
