org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
pancrase,バンタム級,バンタム級,,4,井村塁,井村塁,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,imura-rui,listed,exact
pancrase,バンタム級,バンタム級,,5,神部篤坊,神部篤坊,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kanbe-atsubo,hidden,exact
pancrase,バンタム級,バンタム級,,6,荒田大輝,荒田大輝,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,7,佐藤ゆうじ,佐藤ゆうじ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,8,バラカトゥロ・アサドゥラエフ,バラカトゥロ・アサドゥラエフ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,9,山木麻弥,山木麻弥,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,10,前田浩平,前田浩平,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,11,合島大樹,合島大樹,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,バンタム級,バンタム級,,12,白井誠司,白井誠司,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,王者,時田隆成,時田隆成,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,tokida-takashige,hidden,exact
pancrase,フライ級,フライ級,,1,猿飛流,猿飛流,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,2,岸田宙大,岸田宙大,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,kishida-hiroto,hidden,exact
pancrase,フライ級,フライ級,,3,眞藤源太,眞藤源太,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,shindo-genta,hidden,exact
pancrase,フライ級,フライ級,,4,谷村泰嘉,谷村泰嘉,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,tanimura-taika,hidden,exact
