# 決着(methodRaw生データ): ユニーク4133件

4	判定2-0 (30-28、29-29、30-28)
4	延長2R終了 判定3-0
4	KO 1R2分13秒
4	判定3-0 (29-27、29-27、30-27)
4	TKO 1R1分32秒
4	判定3-0 (30-29、30-28、30-27)
4	判定3-0 (48-47、49-48、49-48)
4	延長2R終了 判定0-3
4	判定3-0 (50-47、50-46、50-46)
4	判定0-3 (27-30、28-30、27-29)
4	TKO 1R1分27秒
4	判定3-0 (29-28、29-28、30-29)
4	判定0-3（27-30、27-30、26-30）
4	判定3-0（三者とも20-19）
4	判定2-0 (30-29、29-29、29-28)
4	判定0-3 (48-50/48-49/47-50)
4	判定3-0(30：27 30：27 29：28)
4	判定0-3（三者とも28-30）
4	判定0-3(28：30 28：30 27：30)
4	判定0-2（29-29、29-30、29-30）
4	判定3-0 (30-27/30-27/30-27)
4	判定 0-3（29-30、29-30、29-30）
4	判定0-3（28-30、28-30、29-30）
4	KO 3R1分37秒
4	判定 1-0（29-29、30-29、29-29）
4	判定0-3 29-30・28-30・28-30
4	判定0-3 (28-30、27-30、27-30)
4	1R TKO ※MMA
4	2R負傷判定
4	判定3-0（30-27、30-28、30-27）
4	判定2-0（30-29、29-29、29-28）
4	2R 時間切れ ※MMA
3	延長1R終了 判定0-3
3	判定3-0(30：27 30：27 30：28)
3	TKO 1R2分05秒
3	TKO 3R2分04秒
3	3R 1:32 KO
3	Split Decision
3	1R 1:15 KO
3	判定3-0 30-26・30-26・30-26
3	3分3R+延長R終了 判定3-0
3	1R 1:42 KO（右ストレート）
3	1R 2:52 KO（右フック）
3	1R 1:07 KO（パンチ連打）
3	2R 0:16 KO（右フック）
3	2R 2:01 KO
3	2R 1:58 KO（左ハイキック）
3	1R 0:55 KO
3	判定3-0 (三者とも50-46)
3	1R 2:02 KO
3	3R 判定（0-2）
3	TKO 1R1分37秒 レフェリーストップ
3	判定0-3（三者とも29-30）
3	判定 3-0 （30-29）（30-29）（30-29）
3	3分3R+延長R終了 判定0-3
3	判定3-0 (30-27/30-27/30-28)
3	判定2-0 (29-29/30-29/30-29)
3	判定3-0 29-28・29-28・29-28
3	判定0-3（27-30、27-30、28-30）
3	1R 0:54 KO（右フック）
3	1分30秒1R終了 判定3-0
3	1R 1:06 KO（左膝蹴り）
3	5R終了 ドロー
3	2R 2:32 KO（パンチ連打）
3	2R TKO（タオル投入）
3	ドロー
3	判定 3-0 （30-27）（30-28）（30-28）
3	2R 1:11 KO（右ローキック）
3	2R終了 判定2-0
3	3分2R終了 判定3-0
3	2分3R終了 判定1-2
3	3分3R終了 判定1-0
3	1R 1:15 KO（右フック）
3	1R 2:24 KO（右フック）
3	8R 判定
3	4R 判定 ※OFGマッチ
3	KO 2R1分15秒
3	3R 1:29 TKO（タオル投入）
3	判定3-0（30-27、30-27、30-26）
3	1R 2:55 KO
3	判定3-0 (30-29、30-29、30-29)
3	NC
3	3R 判定 （0-3）
3	3R 1:20 KO（右フック）
3	判定3-0（30-25、30-25、30-25）
3	TKO 1R1分56秒
3	判定3-0 (三者とも49-46)
3	KO 1R2分10秒
3	1R 1:35 KO
3	1R 2:38 TKO（タオル投入）
3	3R 1:56 KO
3	判定1-1
3	TKO 1R1分52秒 レフェリーストップ
3	1R 1:38 TKO（レフェリーストップ）
3	判定0-1 (29-29、29-30、29-29)
3	判定0-1 (29-29、28-29、29-29)
3	TKO 3R1分22秒
3	2R 1:05 KO（右跳び膝蹴り）
3	判定1-0 (30-29/29-29/29-29)
3	判定3-0 30-27・30-27・30-27
3	3R+延長1R終了 判定1-2
3	TKO 1R2分26秒
3	1R 2:45 KO（右ローキック）
3	1R 1:02 KO（左フック）
3	判定0-2 (29-30、29-29、29-30)
3	1R 2:15 KO（左フック）
3	1R 3:00 KO（2ノックダウン：右フック）
3	2R 3:05 KO（右ローキック）
3	1R 1’45” KO
3	2分3R終了 判定2-1
3	判定1-0 (29-29、29-28、29-29)
3	判定0-3 (27-29、27-29、27-30)
3	判定3-0 (29-28、30-28、30-27)
3	判定0-3（29-30、28-30、29-30）
3	判定0-3（28-30、28-30、28-30）
3	判定0-3（29-30、29-30、27-30）
3	判定0-3（29-30、29-30、28-29）
3	3R終了 ドロー
3	KO 1R1分17秒
3	判定0-3 (29-30、28-30、29-30)
3	判定3-0 (29-28、30-29、30-29)
3	判定0-3 (三者とも28-29)
3	1R 2:58 KO（右フック）
3	判定3-0 (30-29、29-28、30-29)
3	KO 1R2分41秒
3	判定2-0 (29-28、28-28、29-28)
3	判定3-0 (三者とも29-28)
3	判定3-0（30-26、30-26、30-26）
3	3分1R
3	4R 判定0-3 (9-10/9-10/9-10)
3	判定0-0（30-30、30-30、30-30）
3	判定0-2 (29-29、29-30、29-30)
3	判定2-0 (29-28、29-29、30-28)
3	1RTKO
3	KO 2R2分26秒
3	判定2-0 (29-29、30-29、30-28)
3	判定 ０：３
3	判定3-0 (50-47、49-47、50-47)
3	判定1-0（30-29、30-30、29-29）
3	判定0-2（29-30、29-30、29-29）
3	判定3-0（30-28、30-28、30-29）
3	3R終了判定3-0
3	2R 2:46 KO（右ストレート）
3	判定3-0（30-28、30-28、29-28）
3	判定0-3(29：30 29：30 28：30)
3	判定0-3 (28-30、29-30、28-30)
3	判定0-1 (29-30、29-29、29-29)
3	1R TKO（レフェリーストップ）
3	TKO 1R2分17秒 レフェリーストップ
3	2R 2:55 KO（右フック）
3	判定0-0 (29-29/29-29/29-29)
3	判定3-0 (30-28、30-29、30-28)
3	判定3-0 (30-27、30-27、30-27)
3	3R 判定0-2(29-30/29-29/29-30)
3	判定3-0 (三者とも48-47)
3	5R 判定 負け
3	判定3-0(30：29 30：29 29：28)
3	判定3-0 (29-28、30-29、30-28)
3	TKO 5R
3	判定3-0 (30-25/30-25/30-25)
3	判定0-3 29-30・29-30・28-30
3	判定0-3 (28-30、27-30、28-30)
3	KO 4R
3	10R 判定
3	TKO 4R
3	判定 1-1（30-29、29-29、28-29）
3	判定2-1 30-29・29-30・30-28
3	TKO 1R1分00秒 レフェリーストップ
3	判定0-3 (28-30/29-30/29-30)
3	3Rテクニカル判定
3	判定0-3（28-30、29-30、28-30）
3	KO 2R ※MMA
2	3R 2:09 KO（右ローキック）
2	3R 1:25 KO（3ノックダウン：右ミドルキック）
2	2R 2:53 KO（2ノックダウン：パンチ連打）
2	3R 1:29 KO（右ローキック）
2	1R 1:46 KO（3ノックダウン：パンチ連打）
2	1R 3:02 TKO（左ボディフック）
2	3R 1:09 KO（左ボディフック）
2	2R 0:26 KO（右フック）
2	1R 1:37 KO（右フック）
2	1R 2:17 KO（右ハイキック）
2	2R 0:34 KO（右ストレート）
2	4R 1:03 TKO（左フック）
2	2R 0:20 KO（左フック）
2	2R 2:45 TKO（3ノックダウン：左膝蹴り）
2	2R 1:18 KO（右ストレート）
2	3R 0:45 TKO（パンチ連打）
2	1R 2:49 KO（右ストレート）
2	判定1-1 (29-29、29-30、30-29) 延長0-3 (三者とも9-10)
2	1R 2:40 KO（左ハイキック）
2	1R 1:46 KO（左膝蹴り）
2	KO 2R 0分39秒
2	判定2-0 (30-29、29-29、30-28)
2	2R 2’53” KO (胴回し回転蹴り)
2	3R 1’01” TKO (レフェリーストップ)
2	判定0-2 (28-30/29-30/29-29)
2	判定 ２−１ （３０：２９）（３０：２９）（２９：３０）
2	1R 1分45秒 TKO（レフェリーストップ）
2	2R 1分16秒 TKO（レフェリーストップ：左ハイキック）
2	※1R 1’56” KO ※右ストレートにてダウン×3
2	3R 判定 （1-2）
2	2R 1:12 KO
2	判定2-1 (47-48、48-47、49-47)
2	2R 0:45 TKO（タオル投入）
2	※3R 0´23˝ TKO 右ストレート
2	1R 1’13” KO
2	判定1-2 (28-30/30-29/29-30)
2	判定0-2 (28-29、28-28、27-29)
2	3R 1:21 KO（右フック）
2	2R 0:30 TKO（タオル投入）
2	1R 1:02 KO（右アッパー）
2	判定3-0 (49-48、49-48、50-47)
2	判定2-1 (48-46、47-48、48-46)
2	3R 1:54 KO（右フック）
2	2R 1:07 KO（パンチ連打）
2	3R 2:06 KO（3ノックダウン：右膝蹴り）
2	2R 2:06 KO（3ノックダウン：左フック）
2	1R 1:52 KO（3ノックダウン：パンチ連打）
2	1R 1:25 KO（パンチ連打）
2	4R 1:32 TKO（タオル投入）
2	3分5R終了 判定0-1
2	1R 1:48 KO（右ストレート）
2	1R 2:19 KO（右脛骨折）
2	3R 0:50 TKO（左まぶたのカット）
2	3分2R終了 判定2-0
2	判定3-0(30：28 30：27 30：27)
2	ドロー 判定1－0 ※29－28、29－29、29－29
2	判定0-3（26-30、27-30、26-30）
2	判定0-3 (28-29、28-30、28-30)
2	2R KO（左ストレート）
2	3R 1:23 KO（左三日月蹴り）
2	1R 2:56 KO（3ノックダウン：左フック）
2	2R 0:41 KO（左フック）
2	1R TKO（3ノックダウン）
