name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
ミツダマン,ミツダマン,,published_kana,ナックルズGYM,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1746
三堀“SMILE”美弥子,ミツホリ スマイル ミヤコ,Mitsuhori “SMILE” Miyako,published_kana,Y’ZD GYM,K-1,https://www.k-1.co.jp/fighter/404
蜜山剛三,ミツヤマ コウゾウ,,published_kana,,,https://ja.wikipedia.org/wiki/蜜山剛三|https://www.k-1.co.jp/fighter/601
MITSURU,ミツル,,published_kana,,K-1,https://www.k-1.co.jp/fighter/640
緑川 創,ミドリカワ ツクル,Tsukuru Midorikawa,published_kana,RIKIX,RISE,https://rise-rc.com/fighter/midorikawa_tsukuru/|https://ja.wikipedia.org/wiki/緑川創
MINA,ミナ,,published_kana,,,https://ja.wikipedia.org/wiki/櫻井未奈|https://www.k-1.co.jp/fighter/514
海凪,ミナギ,Minagi,published_kana,RAUSU GYM,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1480
港太郎,ミナト タロウ,,published_kana,,,https://ja.wikipedia.org/wiki/港太郎
南野 卓幸,ミナミノ タカユキ,Minamino Takayuki,published_kana,K-1ジム総本部チームペガサス,K-1,https://www.k-1.co.jp/fighter/158
峯 大樹,ミネ ダイキ,Mine Daiki,published_kana,若獅子会館,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1030
ミハル・トゥリンスキー,ミハル・トゥリンスキー,,published_kana,FIGHTER WROCLAW,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1405
壬生狼 一輝,ミブロ カズキ,Miburo Kazuki,published_kana,力道場静岡,K-1,https://www.k-1.co.jp/fighter/1096
美保,ミホ,,published_kana,,,https://ja.wikipedia.org/wiki/美保
宮川 太陽,ミヤカワ タイヨウ,Miyakawa Taiyo,published_kana,K-1 GYM SAGAMI-ONO KREST,K-1,https://www.k-1.co.jp/fighter/1170
宮川 博孝,ミヤカワ ヒロタカ,Miyakawa Hirotaka,published_kana,,K-1,https://www.k-1.co.jp/fighter/255
ミヤギン,ミヤギン,,published_kana,team Bonds,RISE,https://rise-rc.com/fighter/miyagin/
三宅 祐弥,ミヤケ ユウヤ,Miyake Yuya,published_kana,Hacker GYM,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1137
宮越 宗一郎,ミヤコシ ソウイチロウ,Miyakoshi Soichiro,published_kana,,K-1,https://www.k-1.co.jp/fighter/545
宮﨑小雪,ミヤザキ コユキ,Koyuki Miyazaki,published_kana,TRY HARD GYM,RISE,https://rise-rc.com/fighter/miyazaki_koyuki/|https://ja.wikipedia.org/wiki/宮﨑小雪|https://www.k-1.co.jp/fighter/1438
宮崎 直人,ミヤザキ ナオト,Miyazaki Naoto,published_kana,,K-1,https://www.k-1.co.jp/fighter/506
宮崎 勇樹,ミヤザキ ユウキ,Miyazaki Yuki,published_kana,FLYSKY GYM/MY GYM,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1173
宮﨑 頼悟,ミヤザキ ライゴ,Miyazaki Raigo,published_kana,K-1ジム三軒茶屋シルバーウルフ,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1764
宮﨑若菜,ミヤザキ ワカナ,Wakana Miyazaki,published_kana,TRY HARD GYM,RISE,https://rise-rc.com/fighter/miyazaki_wakana/|https://ja.wikipedia.org/wiki/宮﨑若菜
